Complexity,Loss,Equation
1,0.92040205,"x3"
2,0.765664,"tanh(x3)"
3,0.49108887,"x5 / -0.09794452"
5,0.33512267,"(x5 + x6) / -0.12266124"
6,0.33395517,"tanh(x5 + x6) / -0.12136911"
7,0.29278913,"((x5 * 1.6636376) + x6) / -0.1626606"
8,0.2895184,"(x3 * 0.6332352) + sin(x0 + x1)"
9,0.23773465,"(((x5 / -0.4912642) + x7) - x6) * 4.9906273"
10,0.23539728,"tanh((x5 / -0.48396796) + (x7 - x6)) * 5.0608344"
11,0.20346735,"(((x11 - x6) + (x5 / -0.41812766)) + x7) * 4.26922"
12,0.20023996,"(tanh((x5 / -0.43011263) + (x7 + x11)) - x6) * 4.488406"
13,0.16629848,"((x5 / -0.3849235) + (x7 + (x10 + (x11 - x6)))) * 3.9530241"
14,0.15937273,"(x3 * 0.50323) + (((x7 - x5) / 0.26502258) + sin(x0 + x1))"
15,0.13181531,"((x10 + ((x5 / -0.32253554) + x11)) + ((x6 / -0.5333961) + x7)) * 3.2722554"
16,0.11555727,"((x3 * 0.51663065) + sin(x1 + x0)) + ((x11 + (x7 - x5)) * 3.4685102)"
17,0.09772434,"(tanh(sin(x0 + x1)) + (x3 * 0.4987661)) + (((x7 + x11) - x5) * 3.7015522)"
18,0.08935818,"sin(x1 + x0) + ((((((x11 + x7) + x9) - x5) * 9.68392) + x3) * 0.36921072)"
