method,label,primitive_regime,include_sqrt,seed,n,noise,k_folds,R2_oof,MSE_oof,elapsed_sec,prediction_pass,terminal_span_pass,terminal_selected_span_corr,terminal_subexpr_span_corr,radical_in_discovery,radical_single_corr,radical_subexpr_span_corr,radical_product_pass,vieta_gate_pass,strict_A0_not_eligible,best_expression_or_abstraction,error
FASE,FASE_strict_A0,strict A0,False,42,50,0.0,,0.9341700200584485,0.028042034449506904,20.823317766189575,False,True,0.9999996238943243,0.9999996238947964,True,0.9915470018923752,0.9999994944194195,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.0,,0.6373729359976462,0.15447066260852765,31.804495811462402,False,True,0.9999999988231248,0.9999999993284335,True,1.0,0.9999999999887202,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.001,,0.9347267907994192,0.027807345922606697,20.856964826583862,False,True,0.9999998440474364,0.99999984406896,True,0.9915470018923752,0.9999995613479796,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.001,,0.9988794536958358,0.0004773691853642703,32.30061197280884,True,True,0.9999999981784028,0.9999999998141773,True,1.0,0.9999999999868168,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.01,,0.9877376614864816,0.005229215218387475,21.5103600025177,True,True,0.9999996287948385,0.9999997024123519,True,0.9915470018923752,0.999998984193117,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.01,,0.7526058719322454,0.1055000347613473,34.891834020614624,False,True,0.9999999997518533,0.9999999999061013,True,1.0,0.9999999999881263,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.05,,0.9798994713039209,0.008648824567581275,20.680974006652832,True,True,0.9999969345356043,0.999998449269311,True,0.9915470018923752,0.9999869799147864,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.05,,-296819295080843.44,127714949703194.27,31.26843786239624,False,True,0.9999999980074796,0.999999999902288,True,1.0,0.9999999997539053,True,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.1,,0.41837489615904844,0.25561151291187234,21.956907987594604,False,True,0.9999989513813304,0.9999989521092019,True,0.9915470018923752,0.9999949967018977,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.1,,0.9551873115938931,0.019694196494423704,31.68455410003662,True,True,0.9999999910826729,0.9999999999105715,True,1.0,0.9999999998292055,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,50,0.2,,-1226.3054681180452,579.9890225013363,23.697707891464233,False,True,0.9999999713000834,0.9999999752319004,True,0.9915470018923752,0.9999995030970403,False,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,50,0.2,,0.7794550189432012,0.10422317125079852,32.97572088241577,False,True,0.9999999937291312,0.9999999999713527,True,1.0,0.9999999999128522,False,False,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.0,,0.9979918941489481,0.0008905466612412892,22.794795036315918,True,True,0.9999997297792416,0.9999997876443012,True,0.9893442242743948,0.9999999057502887,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,80,0.0,,0.9977159960617951,0.0010129008290897014,31.011927604675293,True,True,0.9999999277845782,0.9999999490674336,True,1.0,0.9999999994761316,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.001,,0.9981144361694861,0.0008360492102327905,23.043169021606445,True,True,0.999999729778508,0.99999978764437,True,0.9893442242743948,0.9999999057506074,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,80,0.001,,0.9979206612651398,0.000921967996497133,31.2692711353302,True,True,0.9999990634114749,0.9999995626372393,True,0.9942956892500363,0.9999947997876608,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.01,,0.9921200248312714,0.003488860336241937,22.795294761657715,True,True,0.9999998960300154,0.9999998960308878,True,0.9893442242743948,0.9999998290805733,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,80,0.01,,0.9954780768375661,0.0020020822435529344,31.7446870803833,True,True,0.99999966525878,0.9999999364653266,True,1.0,0.9999999998211135,True,True,False,x1*sqrt_pos(2 + x0),
FASE,FASE_strict_A0,strict A0,False,42,80,0.05,,0.555960147671463,0.19615527341863764,21.927496194839478,False,True,0.9999968379081224,0.9999968720784933,True,0.9893442242743948,0.9999945147753113,True,False,True,x1*sqrt_pos(2 + x0),
FASE,FASE_A0r,A0r = A0 + sqrt_pos,True,42,80,0.05,,0.9868233424235276,0.005820808326330934,35.750590801239014,True,True,0.9999999943579297,0.9999999933476037,True,1.0,0.999999999039393,True,True,False,x1*sqrt_pos(2 + x0),
