Complexity,Loss,Equation
1,0.15773232,"x1"
3,0.13980603,"x1 * 1.1118941"
5,0.073034644,"x1 - (x0 * -0.07102755)"
7,0.0027765161,"((x0 + 5.8259616) * x1) * 0.12136204"
9,7.820598e-5,"x1 * ((-30.29506 / (13.19166 + x0)) + 2.9926083)"
11,7.7329e-5,"(x1 * ((-30.407888 / (x0 + 13.219642)) + 2.9947147)) + 0.0020630998"
13,3.0798985e-6,"((((0.59425354 / (x0 + 5.164232)) - -0.06464597) * x0) + 0.7063976) * x1"
15,3.073446e-6,"x0 * (x1 * (((0.70650446 / x0) + (0.5893684 / (x0 + 5.1327276))) - -0.06491675))"
17,2.963197e-6,"((x0 * x1) + -0.00018577915) * (((0.58997554 / (x0 + 5.1324673)) + (0.70647836 / x0)) - -0.06487067)"
19,1.0910702e-6,"(x1 * x0) * ((0.7073826 / x0) - (((0.0016621624 - (-0.081720136 / (x0 + 3.84144))) * x0) + -0.17763369))"
21,1.0787201e-6,"(x0 + -4.755069e-5) * (x1 * ((0.70737356 / x0) - (((0.0016628455 - (-0.08174714 / (x0 + 3.8414483))) * x0) + -0.17765781)))"
23,9.920252e-7,"((0.70719 / x0) - ((((x0 * (-0.0001273532 - (0.018195854 / (x0 + 3.2448359)))) + 0.022402244) * x0) + -0.17679681)) * (x0 * x1)"
25,9.913172e-7,"(x0 * (((0.35359982 / x0) + (0.05831388 - (x0 * ((x0 * -6.0239483e-5) + 0.0020353138)))) + (0.09874632 / (x0 + 3.2791326)))) * (x1 + x1)"
27,9.887965e-7,"(((0.3535898 / x0) + 0.08840318) - ((((x0 * -6.4267035e-5) - (-0.029454084 / (x0 + 3.2417803))) + 0.002113579) * x0)) * ((x0 + -2.4843152e-5) * (x1 + x1))"
29,9.735985e-7,"x1 * (((0.7073734 / x0) - ((((0.001659598 - ((-2.7592034e-6 / (x0 + -1.3961904)) / (1.8338798 - x1))) - (-0.08175061 / (x0 + 3.8414385))) * x0) + -0.1776425)) * x0)"
