Complexity,Loss,Equation
1,0.16831478,"x1"
3,0.15178989,"x1 * 1.1071426"
5,0.07777913,"(x0 * 0.072234415) + x1"
7,0.003105467,"((x0 + 5.821247) * x1) * 0.12105581"
9,9.676668e-5,"x1 * ((29.353529 / (-12.931928 - x0)) - -2.9652634)"
11,9.5690375e-5,"(x1 * ((29.354094 / (-12.930284 - x0)) - -2.9638042)) + 0.0022829375"
13,3.6033211e-6,"(((0.06558201 * x0) + 1.2828593) + (-2.8983746 / (x0 + 5.0296874))) * x1"
15,3.5930223e-6,"((-2.8984394 / (x0 + 5.029584)) + ((x0 * 0.065594405) + 1.2829901)) * (x1 - 0.0001930924)"
17,1.1257067e-6,"x1 * (((-1.1807247 / (x0 + 3.8091955)) + 1.0173119) + (((x0 * -0.0016830476) + 0.09635565) * x0))"
19,1.1217006e-6,"((-1.1809453 / (x0 + 3.8095164)) + ((((x0 * -0.0016824396) + 0.09634069) * x0) + 1.0172758)) * (x1 + 0.000120346915)"
21,1.0060731e-6,"(((x0 * 0.050788045) + ((-0.3050075 / (x0 + 2.8676236)) + 1.6739885)) + (-2.7948523 / ((x0 * 0.33726907) + 3.247597))) * x1"
23,9.4958875e-7,"x1 * ((-2.7620687 / (2.3560193 + (x0 * 0.18382183))) + ((x0 * 0.041146025) + (2.007865 + (-0.21152695 / ((0.56599736 * x0) + 1.6486433)))))"
25,9.3170064e-7,"((-2.7758958 / ((x0 * 0.19190584) + ((-1.7949185 / (9.488141 - ((x0 - -0.7943195) / -0.2541269))) + 2.3520873))) + ((x0 * 0.042446133) + 1.963283)) * x1"
27,9.288123e-7,"(x1 * (((x0 * 0.042360734) + 1.9639621) + (-2.7759948 / (((-1.795233 / (9.488043 - ((x0 + 0.80964303) / -0.25269365))) + 2.3497956) + (x0 * 0.19206221))))) - -0.00015599835"
