Complexity,Loss,Equation
1,0.17544857,"x1"
3,0.16110203,"x1 * 1.1004688"
5,0.08125413,"x1 + (x0 * 0.07399984)"
7,0.0034300063,"x1 * ((x0 + 5.655117) * 0.1229322)"
8,1.088276e-6,"(x1 * sqrt(x0 + 1.9998693)) * 0.5000421"
10,1.0862957e-6,"((sqrt(x0 + 1.9978898) + 0.0012879509) * 0.49986845) * x1"
12,1.0789528e-6,"(2.1967484e-5 / x0) + (x1 * (sqrt(x0 + 2.0000048) * 0.50003666))"
14,1.0323777e-6,"(((3.3850207e-5 / (x0 - 1.3318623)) + 0.50002855) * sqrt(x0 + 2.000055)) * x1"
16,9.940899e-7,"x1 * (sqrt(((0.00031835103 / (x1 - (x0 / x1))) + x0) + 1.9995816) * 0.5000475)"
18,9.91526e-7,"(x1 * sqrt(x0 + (1.999328 + (0.0004021254 / ((x1 * 1.0056876) - (x0 / x1)))))) * 0.50006324"
20,9.816207e-7,"(x1 * sqrt(x0 + 1.9996667)) * (((-4.4303702e-5 / (x1 - (x0 / x1))) / (-0.31687847 - x0)) + 0.5000481)"
22,9.462839e-7,"((-0.000118685944 / ((x0 / x1) - x1)) / (2.8857822 - (1.6141546 / x0))) + (0.50004846 * (x1 * sqrt(x0 + 1.9995738)))"
24,9.3685156e-7,"((0.00015710232 / (((-1.0185438 / x0) / x0) + 2.8508291)) / (x1 - (x0 / x1))) + (x1 * (sqrt(x0 + 1.9994143) * 0.5000533))"
25,9.30554e-7,"((x1 * 0.5000553) * sqrt(x0 + 1.9993291)) + ((0.000107243955 / (x1 - (x0 / x1))) / (2.8858347 - (1.7257398 / sqrt(x0 * x0))))"
27,9.2632183e-7,"((0.000120445315 / (x1 - ((x0 / x1) + -0.004564287))) / (2.88606 - (1.7253749 / sqrt(x0 * x0)))) + (sqrt(x0 + 1.9993145) * (x1 * 0.5000579))"
29,9.2298865e-7,"((-0.00013788913 / (2.888411 - (1.544091 / sqrt((x0 * x0) / 1.2420979)))) / ((x0 / x1) - (x1 * 1.008623))) + (sqrt(x0 + 1.9992886) * (x1 * 0.5000628))"
