Complexity,Loss,Equation
1,0.18065524,"x1"
3,0.16518717,"x1 / 0.9055656"
5,0.08442379,"(x0 * 0.07479608) + x1"
7,0.0065488676,"((-5.6591735 - x0) * -0.12330729) * x1"
9,0.002775214,"x1 * ((-26.135231 / (x0 + 12.042423)) + 2.8671248)"
11,0.0027750887,"(x1 * ((-26.135088 / (x0 + 12.042683)) - -2.8677032)) + -0.0008193972"
13,0.002706884,"x1 * ((((68.284546 / (x0 + 5.575047)) - x0) * -0.057452336) - -1.411608)"
15,0.0026734255,"(-0.0034944885 / (-0.30410677 - x0)) + (x1 * ((-26.049967 / (x0 + 12.011913)) - -2.8639693))"
17,0.002545402,"(-0.0030299663 / (x0 - (x1 - -0.21400106))) + (((-26.050926 / (x0 + 12.006571)) - -2.8659701) * x1)"
19,0.0025451765,"(((-26.051044 / (x0 + 12.006571)) - -2.8653138) * (x1 + 0.0009273701)) + (-0.0030437256 / (x0 - (x1 - -0.21450853)))"
21,0.0024862203,"(((((76.15778 / (x0 + 5.7461967)) - x0) * -0.055696536) - -1.4450849) * x1) - (0.0030040813 / ((x0 + -0.21658891) - x1))"
23,0.0024811858,"(x1 - ((0.003334601 / (x0 + (-0.21538892 - x1))) / x0)) * ((((75.94249 / (x0 + 5.7461896)) - x0) * -0.055635836) - -1.4433547)"
25,0.002404991,"(-0.0045759627 / ((x0 - -0.2997083) * ((x0 - x1) + -0.21382307))) + (((((76.15785 / (x0 + 5.863742)) - x0) * -0.056780938) - -1.4420894) * x1)"
27,0.0024046078,"((((((76.157845 / (x0 + 5.8637924)) - x0) * -0.056780957) - -1.4431238) * x1) + -0.0013544492) - (0.004571087 / ((x0 - -0.2996251) * ((x0 - x1) + -0.21361196)))"
