Complexity,Loss,Equation
1,0.16011769,"x1"
3,0.15027007,"x1 * 1.0831544"
5,0.08053974,"x1 - (x0 * -0.07052335)"
7,0.00607839,"((x0 + 5.6430345) * 0.123469405) * x1"
9,0.002697438,"((-25.845875 / (x0 + 12.022186)) + 2.8430028) * x1"
11,0.0026965013,"(x1 + -0.0018722145) * ((-25.791092 / (x0 + 11.998444)) + 2.843768)"
13,0.0026632585,"x1 * ((x0 * ((0.8223083 / (x0 + 6.3470697)) + 0.05149938)) + 0.70085514)"
15,0.0026600107,"((((0.8113088 / (x0 + 6.276752)) + 0.052281972) * x0) + 0.7029824) * (x1 + -0.0035770996)"
17,0.0025943343,"(x1 * 3.0954375) + (x1 * (-33.69211 / (x0 + (14.019124 + (0.022822876 / (x0 + -1.3396484))))))"
19,0.0024777947,"(x1 * 3.1016605) + ((x1 * -33.707214) / (((-0.023243992 / (x0 - (x1 * x1))) + x0) + 13.960443))"
21,0.0024670977,"((x1 * -33.631138) / ((-0.024205316 / (x0 - (x1 * x1))) + ((x0 * 1.0557343) + 14.266102))) + (x1 * 3.0446966)"
23,0.0024500315,"(x1 * 0.68877923) + (x0 * ((x1 * 2.2442956) / (x0 + ((0.19388118 / (x0 * (x0 - (x1 * x1)))) + 12.674118))))"
25,0.0023419503,"(0.6863916 * x1) + (((x0 * x1) / ((x0 + 12.609095) + (0.29041806 / ((x0 + 0.59865355) * (x0 - (x1 * x1)))))) * 2.2449868)"
27,0.0023386974,"(x1 * 0.6864121) + (((x1 * (2.2574313 / (x0 + ((0.2892493 / ((x0 - (x1 * x1)) * (x0 + 0.5988601))) + 12.607543)))) - 0.0009812933) * x0)"
29,0.0023340096,"(x1 * 0.6865725) + ((((2.2575731 / (x0 + ((0.2892445 / ((x0 - (x1 * x1)) * (x0 + 0.59787154))) + 12.6075325))) * x1) - (x0 * 0.00020163824)) * x0)"
