Complexity,Loss,Equation
1,0.16936496,"x1"
3,0.1546125,"x1 * 1.0961133"
5,0.071263656,"(x0 * 0.0760631) + x1"
7,0.00323736,"(x0 + 6.1587543) * (x1 * 0.11720611)"
9,0.003224335,"(((x0 * 0.117190264) + 0.72814846) * x1) - 0.008688248"
11,0.00028131812,"(((x0 * -0.0069360803) + 0.18836223) * (x0 + 3.6892428)) * x1"
13,0.00027952265,"((x0 + 3.7018738) * (((x0 * -0.0069278954) + 0.18835686) * x1)) - 0.00317923"
15,0.00027939002,"(((0.024478992 - x0) * 0.006920395) + 0.1880437) * (((x0 + 3.7075582) * x1) - 0.020503536)"
19,9.1944516e-5,"((((2.0664885 / (((7.235724 / x0) + 0.54412276) / 2.4633493)) / 1.765951) + -0.6941229) * (x1 / 2.2885911)) + x1"
21,9.138427e-5,"x1 + ((x1 / 1.8092067) * ((((3.0282197 / (((6.90272 / x0) + 0.5176611) / 1.8587958)) / 2.6501193) + -0.53579265) / 0.9796971))"
23,9.1251684e-5,"(x1 + ((x1 / 1.816507) * ((((3.0392678 / (((6.900721 / x0) + 0.5103044) / 1.8806851)) / 2.6412034) + -0.5462536) / 0.9981627))) - 0.0014666573"
25,9.102685e-5,"((((x1 / 1.8170736) * (((3.0366986 / (((6.9016056 / x0) + 0.51393414) / 1.8765397)) / 2.6491163) + -0.5602757)) + (x1 - -0.018144572)) / 0.9899481) - 0.019666582"
29,5.029788e-5,"((x1 * (((2.0545962 / ((((2.0773182 / ((-0.690773 / (2.0545962 + x0)) + 2.0593848)) / 2.0556479) + (7.2360573 / x0)) / 2.4533758)) / 1.7802105) + -0.690773)) / 2.3005264) + x1"
