Complexity,Loss,Equation
1,0.16853648,"x1"
3,0.16052116,"x1 / 0.9318328"
5,0.07792925,"x1 - (x0 * -0.074047506)"
7,0.0032944167,"(0.11764754 * (x0 + 6.0859923)) * x1"
8,1.0226404e-6,"(sqrt(x0 + 2.000038) * x1) * 0.49999323"
10,1.0187963e-6,"(sqrt(x0 + 2.0004344) * (x1 * 0.5000198)) + -0.00015026398"
12,1.0171493e-6,"(x1 * 0.5000055) * sqrt((-0.00071507914 / x1) + (2.0003242 + x0))"
14,1.0128282e-6,"(((x1 + 0.00053939363) * sqrt((x0 / 1.5063345) + 1.3289802)) * 0.6135766) + -0.0007216941"
16,1.003105e-6,"((-5.5923347e-6 / (x1 + -0.37315634)) + (sqrt((x0 / 1.8975645) + 1.0541416) * x1)) * 0.6887307"
18,9.967024e-7,"((2.0574176e-5 / (x0 + 1.0961243)) + (x1 * 0.60893816)) * sqrt(((x0 + 0.4878242) / 1.483248) + 1.0194733)"
19,9.963746e-7,"(((1.4358061e-6 / (sqrt(x1) - 1.3333375)) + 0.6088504) * x1) * sqrt(((x0 + 0.4880078) / 1.482888) + 1.0197135)"
20,9.927317e-7,"x1 * ((-4.3665746e-5 / (x0 + (x1 + (x0 + -0.8513079)))) + (sqrt((x0 / 1.5059152) + 1.3281976) * 0.6135671))"
22,9.890105e-7,"x1 * ((sqrt((x0 / 1.5059116) + 1.3281982) * 0.6135677) + ((x1 / (((x1 + x0) + x0) + -0.85130775)) * -3.6258214e-5))"
24,9.865292e-7,"(-4.603801e-5 / (x0 + (0.17979531 + (x1 + (x0 + (x1 + x1)))))) + ((x1 * 0.6135639) * sqrt((x0 / 1.5059154) + 1.3281972))"
26,9.813972e-7,"(x1 * (sqrt((x0 / 1.5060543) + 1.3284917) * 0.6135833)) + ((((0.41095102 / (x0 + -1.0764167)) + 1.4436802) * -0.00025991877) / ((x0 + 1.3493775) + x1))"
28,9.644069e-7,"sqrt((x0 / 1.5059083) + 1.3281993) * (((((x1 + (0.5799481 / (x0 + -1.0762409))) / ((x0 + (x0 + -0.85130763)) + x1)) * -5.050479e-5) + 0.61357635) * x1)"
