Complexity,Loss,Equation
1,0.18010704,"x1"
3,0.16431186,"x1 * 1.0998104"
5,0.075405315,"(x0 * 0.076738) + x1"
7,0.0033134958,"x1 * ((x0 + 6.140966) * 0.117077485)"
8,1.0132816e-6,"sqrt(x0 + 2.0001624) * (x1 * 0.49999607)"
10,1.0042654e-6,"((sqrt(x0 + 2.000726) * 0.50003666) * x1) - 0.000225976"
12,9.910095e-7,"sqrt(x1 * ((((0.24999838 * x0) + 0.5004377) * x1) + -0.0005532009))"
13,9.908995e-7,"sqrt(x1) * sqrt((x1 * ((x0 * 0.2499957) + 0.50043446)) + -0.00056045287)"
15,9.843016e-7,"(sqrt((((x0 * 0.24983758) + 0.50081915) * x1) + -0.0022457484) * sqrt(x1)) + 0.0008858986"
19,9.709703e-7,"(2.022818e-5 / (x0 + 0.3049677)) + (sqrt(x1) * sqrt(-0.00055145426 + ((0.5004399 + (0.25000283 * x0)) * x1)))"
21,9.682842e-7,"(sqrt((((x0 * 0.24999425) + 0.5004307) * x1) + -0.00055210723) * sqrt(x1)) + (1.6687945e-5 / ((x0 + 0.30496722) * 0.5604382))"
23,9.437409e-7,"(sqrt(x1) * sqrt((((x0 * 0.2500027) + 0.50044) * x1) + -0.0006001388)) + (1.6542528e-5 / (((0.98349994 - x0) / 1.0914544) + 2.5647755))"
