Complexity,Loss,Equation
1,0.18162546,"x1"
3,0.16593738,"x1 * 1.0987631"
5,0.07719778,"(x0 * 0.07738289) + x1"
7,0.0034923381,"(x0 + 6.1016154) * (x1 * 0.117596805)"
8,9.807259e-7,"(x1 * sqrt(x0 + 1.9997818)) * 0.5000077"
10,9.591914e-7,"(sqrt(x0 + 2.0007126) * (x1 * 0.5000698)) - 0.00035650347"
12,9.549543e-7,"(sqrt(x0 + 2.0001013) * (x1 * 0.50002414)) - (0.00012346139 / x1)"
14,9.538508e-7,"((x1 * sqrt(x0 + 1.9999249)) * 0.50001234) - ((3.70098e-5 / x1) / x1)"
16,9.53846e-7,"0.50001234 * ((x1 * sqrt(x0 + 1.9999249)) - ((3.70098e-5 / (x1 * 0.5040955)) / x1))"
17,9.52782e-7,"0.50001234 * (sqrt(1.9999249 + x0) * (x1 - (8.9281966e-5 / (-0.58744496 + (sqrt(x1) + x1)))))"
18,9.392588e-7,"sqrt(((x1 * ((x0 * ((1.7397033e-5 / (x0 - 1.0953046)) + 0.25000545)) + 0.50035423)) + -0.0005661082) * x1)"
21,9.326708e-7,"sqrt(x1 * ((x1 * ((x0 * ((3.603214e-5 / (x0 - sqrt(x1 * 0.7071197))) + 0.25000358)) - -0.5003542)) + -0.0005660492))"
22,9.209097e-7,"sqrt(((x1 * ((x0 * 0.25000572) + 0.5003543)) + ((3.8642418e-5 / ((x1 + x0) - (x0 * 1.0966295))) + -0.0005660736)) * x1)"
24,9.1919645e-7,"sqrt(((3.520603e-5 / (((x1 * 0.99747944) + x0) - (x0 * 1.0966359))) + ((x1 * ((x0 * 0.24999504) + 0.50034887)) + -0.00057129795)) * x1)"
