Complexity,Loss,Equation
1,0.18200502,"x1"
3,0.16599683,"x1 / 0.9086584"
5,0.07758586,"(x0 * 0.07663929) + x1"
7,0.0060066604,"(x1 * (x0 - -6.1762505)) * 0.116710536"
9,0.0026427605,"x1 / ((3.4087055 / (x0 + 3.1048534)) + 0.33159798)"
11,0.002611837,"(x1 / ((3.375652 / (x0 + 3.1301575)) + 0.33147797)) + -0.0134682935"
13,0.0025351115,"((x0 * (0.06788112 - (-0.5190662 / (x0 + 4.5749297)))) + 0.71019286) * x1"
15,0.0024920665,"(0.07057836 - (-1.0246481 / (x0 + 4.318636))) * (((x0 + 2.3599675) * x1) + -0.06791542)"
17,0.0024796352,"((0.06833849 - (-1.0312808 / (x0 + 4.3138423))) * ((x0 + 2.378964) * (x1 + 0.042488575))) + -0.05815202"
19,0.0024442878,"(((x0 * (0.065064594 - (-0.5728413 / ((x0 + (-0.6623795 / x1)) + 5.4876003)))) + 0.7262425) * x1) + -0.02305856"
21,0.0024419907,"(((x0 * (0.0701683 - (-0.48887917 / ((x0 + (-1.4202691 / (x1 - -0.23041075))) + 5.3834414)))) + 0.7301234) * x1) + -0.02507581"
23,0.0024293233,"(x1 * (((0.06458281 - (-0.5816626 / ((x0 + 5.3706713) + (-0.6605857 / ((x1 * x1) - -0.19600353))))) * x0) + 0.72611856)) + -0.023155946"
25,0.0023328161,"(((x0 * (0.064345844 - (-0.5816214 / ((-0.08689728 / (x1 - 0.21770957)) + (x0 + ((-0.66451544 / x1) + 5.545003)))))) + 0.7257817) * x1) + -0.022952411"
27,0.0023317426,"(((x0 * (0.064345844 - (-0.5816214 / (((-0.058580916 / (0.69789654 * (x1 - 0.21770957))) + 5.545003) + (x0 + (-0.66451544 / x1)))))) + 0.7257817) * x1) + -0.022952411"
