Complexity,Loss,Equation
1,0.17072183,"x1"
3,0.15613742,"x1 * 1.095549"
5,0.07450706,"x1 + (x0 * 0.0753285)"
7,0.005924942,"((x0 + 6.190156) * x1) * 0.116755694"
9,0.0026982902,"x1 * ((-29.987463 / (x0 + 13.134636)) + 2.9814594)"
11,0.002642732,"(x1 * ((-30.507364 / (x0 + 13.271606)) + 3.0102856)) + -0.017993562"
13,0.0026229743,"(-0.006690713 / x1) + (((-30.507843 / (x0 + 13.271468)) + 3.0015514) * x1)"
15,0.0025742885,"(x1 * ((1.3699063 - (3.5980966 / (x0 + 5.5220685))) + (x0 * 0.061000165))) + -0.016903529"
17,0.0025539775,"(((x0 * 0.061486125) + (1.352295 - (3.5039926 / (x0 + 5.4583864)))) * x1) - (0.006413959 / x1)"
19,0.0025141512,"x1 * (((x0 * 0.061692044) - ((3.424404 / (x0 + 5.3865166)) - (0.0060273223 / (0.20024048 - x1)))) + 1.347453)"
21,0.002467757,"(x1 * ((1.3472065 - (x0 * -0.06322212)) - (3.426567 / (((-0.005450688 / (x1 - 0.47153673)) - -5.491985) + x0)))) - 0.022972634"
23,0.0024473234,"((1.3497796 + ((x0 * 0.061023563) - (3.4239955 / (x0 + (5.3804536 - (0.0062992144 / (x1 - 0.47159976))))))) * x1) - (0.0062992144 / x1)"
25,0.0024068593,"x1 * (((x0 * 0.06134358) + 1.3497796) - ((3.4239955 / ((x0 + 5.3804536) - (0.005704352 / (x1 - 0.47159976)))) - (0.0066431016 / (0.19975035 - x1))))"
27,0.0024059247,"((1.3488072 - (3.4241045 / (x0 + (5.3804245 - ((0.0079989275 / -2.0172207) / (0.4712115 - x1)))))) + ((0.0616002 * x0) - (0.0069608595 / (x1 - 0.19784942)))) * x1"
29,0.0023791331,"x1 * (((x0 * 0.061538063) - ((3.4241514 / ((x0 - ((0.006513569 / (x0 + -1.3416076)) / (x1 - 0.47161463))) + 5.380363)) - (0.006513569 / (0.19876485 - x1)))) + 1.3488902)"
