Complexity,Loss,Equation
1,0.18469787,"x1"
3,0.1691879,"x1 * 1.098199"
5,0.08156731,"x1 + (x0 * 0.07690967)"
7,0.005970544,"x1 * ((x0 + 6.0746937) * 0.117876254)"
8,0.0024518382,"x1 * sqrt((x0 * 0.25038102) + 0.49799588)"
10,0.0023979752,"(x1 * sqrt((x0 * 0.25347382) + 0.5156549)) - 0.017574498"
12,0.0023892182,"(-0.0060422574 / x1) + (sqrt((x0 * 0.25160596) + 0.5012579) * x1)"
14,0.0023869232,"sqrt((((x0 * 0.25185207) + 0.51078683) * (x1 * x1)) + -0.0054875133) + -0.008964296"
16,0.002382492,"sqrt((((x1 * x1) + -0.0055724997) * (((x0 + x0) * 0.12555654) + 0.50415546)) + -0.005701985)"
17,0.0023081317,"(0.034473624 / (x0 + (sqrt(x1) * -11.933891))) + (x1 * sqrt((x0 * 0.25163677) + 0.5009176))"
19,0.002289478,"sqrt((0.04868907 / (-12.066293 + (x0 / sqrt(x1)))) + ((x1 * x1) * (0.5008071 + (0.25079888 * x0))))"
21,0.0022845787,"sqrt((0.048744276 / (sqrt(x0 * (x0 / x1)) + -12.066253)) + ((((x0 * 0.2507048) + 0.50113684) * x1) * x1))"
23,0.0022818067,"sqrt((0.04510036 / ((x0 / sqrt(x1)) + -12.065015)) + ((((((x0 + x0) * 0.12534663) + 0.50944334) * x1) + -0.011845558) * x1))"
25,0.0022795747,"sqrt((((x1 * (((x0 + x0) * 0.12529421) + 0.5080895)) + -0.009580323) * x1) + (0.045662206 / (sqrt(x0 * (x0 / x1)) + -12.064904)))"
27,0.002211424,"sqrt((0.033826143 / ((sqrt(x1) * -11.522458) - ((1.6915493 / (x0 - 1.2080244)) - x0))) + ((x1 * (((x0 + x0) * 0.12536605) + 0.5002254)) * x1))"
28,0.0022029066,"sqrt((0.033826143 / ((sqrt(x1) * -11.522458) - ((sqrt(2.89163) / (x0 - 1.2080244)) - x0))) + ((((x0 + x0) * 0.12536605) + 0.5002254) * (x1 * x1)))"
29,0.002202875,"sqrt((0.033826143 / ((sqrt(x1) * -11.522458) - ((1.7004793 / (x0 - 1.2080244)) - x0))) + (x1 * ((((x0 + x0) * 0.12536605) + 0.5002254) * (x1 + -0.00026486025))))"
30,0.0022022983,"sqrt((0.033826143 / ((sqrt(x1) * -11.522458) - ((sqrt(2.89163) / (x0 - 1.2080244)) - x0))) + (((((0.12536605 * (x0 + x0)) + 0.5002254) * x1) * x1) + -0.00026486025))"
