Complexity,Loss,Equation
1,0.17926212,"x1"
3,0.16134793,"x1 * 1.1131624"
5,0.07859641,"x1 + (x0 / 13.332351)"
7,0.0034306892,"(x1 * (x0 - -6.126955)) * 0.11662392"
9,0.00010701032,"x1 * (2.9890273 - (29.911709 / (x0 + 13.042928)))"
11,0.00010694401,"(x1 + -0.00051373703) * (2.989747 - (29.912285 / (x0 + 13.040671)))"
13,5.0172484e-6,"(0.7063684 - (((-0.58174586 / (x0 + 5.0451527)) + -0.065060444) * x0)) * x1"
15,5.0155795e-6,"(0.7064057 - ((-0.06504557 + (-0.5820861 / (x0 + 5.0469675))) * x0)) * (x1 - 7.698135e-5)"
17,4.967692e-6,"(((-3.875582e-5 / x0) + 0.7063492) - (x0 * ((-0.5826725 / (x0 + 5.049502)) + -0.06500322))) * x1"
19,1.1094764e-6,"((x0 * (x0 * (((0.0998198 - (-0.64517796 / x0)) / (x0 + 3.6370335)) + -0.0018776965))) + 0.70759064) * x1"
21,1.0977669e-6,"(x1 * (((x0 * x0) * (((0.09982386 - (-0.64514583 / x0)) / (x0 + 3.6370351)) + -0.0018781304)) + 0.7077789)) + -0.00023567087"
23,1.0976903e-6,"(((x0 * ((x0 * ((0.093001224 - (-0.6450281 / x0)) + (x0 * -0.0018784745))) / (x0 + 3.6363893))) + 0.70778275) * x1) + -0.0002375279"
25,1.0647234e-6,"x1 * (((((0.09288815 - ((x0 * 0.0018739783) + (-0.6447189 / x0))) * x0) + (x1 * 0.0009891115)) * (x0 / (x0 + 3.6419837))) + 0.70756364)"
27,9.881751e-7,"(((((x0 / (x0 + 3.636703)) + (-0.00018030651 / (-1.4024023 - x0))) * x0) * (0.09328034 - ((-0.6446731 / x0) + (x0 * 0.0019069142)))) + 0.70747924) * x1"
29,9.685502e-7,"(((((x0 * (0.0932916 - ((x0 * 0.0019082056) + (-0.6446094 / x0)))) * (x0 / (x0 + 3.6366997))) + (-9.5375355e-5 / (-1.4024059 - x0))) + 0.70773816) * x1) + -0.00030477208"
