Complexity,Loss,Equation
1,0.18462357,"x1"
3,0.16647463,"x1 / 0.89978933"
5,0.07668217,"x1 - (x0 * -0.07691881)"
7,0.003663264,"(-6.0561275 - x0) * (x1 * -0.11757903)"
9,0.00010537686,"x1 * ((-29.564112 / (x0 + 12.936559)) + 2.9790113)"
11,0.000104295505,"((x0 + 3.0312414) * (x1 / (-13.032326 - x0))) * -2.9879246"
13,5.2379714e-6,"(x1 * ((-1.1244376 / (x0 + 5.041293)) + -0.06539278)) * (-2.4489193 - x0)"
15,5.2327837e-6,"((-1.1240873 / (x0 + 5.0402336)) + -0.06541595) * ((x1 * (-2.4482527 - x0)) - 0.00082223635)"
17,1.6744293e-6,"x1 * ((((-0.83576804 / (x0 - -4.025186)) - (x0 * -0.0013914817)) + -0.09454837) * (-2.3398585 - x0))"
19,1.126386e-6,"((-2.2638562 - x0) * x1) * (((-0.6248822 / (3.0175114 - (x0 * -0.84420305))) + -0.10553753) - (x0 * -0.001943431))"
21,1.1253235e-6,"((x1 - 6.864327e-5) * ((x0 * 0.0019375909) + ((-0.625524 / (3.0204268 - (x0 * -0.8439617))) + -0.10542842))) * (-2.2646544 - x0)"
23,1.0834679e-6,"(((-0.10816639 - ((-0.0022904684 - (x0 * -1.959201e-5)) * x0)) + (-0.6175352 / (3.023267 - (x0 * -0.85013235)))) * (-2.265025 - x0)) * x1"
25,1.0128317e-6,"(((-0.10567015 - (x0 * -0.0019545988)) + (-0.62258136 / (3.0182488 - (x0 * -0.84189796)))) * x1) * ((-2.2685459 - x0) + (-0.00017762849 / (x0 + 1.4063128)))"
27,1.005891e-6,"((x1 * (-2.2679899 - x0)) - (0.00077302376 / (x0 - (x1 + -2.876417)))) * ((-0.6224475 / (3.0189192 - (x0 * -0.84212077))) + (-0.10576792 - (x0 * -0.0019627856)))"
29,1.0016291e-6,"((((-0.62248164 / (3.0188344 - (x0 * -0.8421133))) + -0.10578974) - (x0 * -0.0019643686)) * (x1 * (-2.268081 - x0))) - ((x0 / (x0 - (x1 + -2.8771918))) * 0.00025254017)"
