Complexity,Loss,Equation
1,0.16068313,"x1"
3,0.14839491,"x1 / 0.91329855"
5,0.07097671,"(x0 * 0.06931323) + x1"
7,0.002725208,"(x1 * 0.11608805) * (x0 - -6.200012)"
9,6.55305e-5,"(3.0598485 - (32.36455 / (x0 + 13.7076235))) * x1"
11,6.546964e-5,"((3.0602162 - (32.36453 / (x0 + 13.70805))) * x1) + -0.0005528039"
13,3.2180956e-6,"x1 * ((x0 * (0.062829725 - (0.62799066 / (-5.412109 - x0)))) + 0.7059282)"
15,3.1901375e-6,"-0.0003754669 - (((x0 * ((0.6278397 / (-5.412338 - x0)) - 0.062842496)) + -0.70622057) * x1)"
17,1.0144128e-6,"x1 * (0.7072914 - (x0 * ((0.30473852 / (-3.8103378 - x0)) - (0.09722024 - (x0 * 0.0017380406)))))"
19,9.887127e-7,"(x1 * (0.7075747 - ((((0.30472082 / (-3.8103402 - x0)) - 0.09720952) - (x0 * -0.0017363819)) * x0))) - 0.00035741559"
21,9.816093e-7,"((x1 + 0.00051812996) * (0.70772326 - ((((0.30640274 / (-3.8213367 - x0)) - 0.09694324) - (x0 * -0.0017228933)) * x0))) + -0.0009208832"
23,9.729835e-7,"x1 * ((x0 * (((-0.000114987975 / (x0 - 0.62517244)) - (x0 * 0.0017212407)) - ((0.30713683 / (-3.8212647 - x0)) - 0.09690537))) + 0.7074385)"
25,8.890879e-7,"x1 * ((x0 * (((-0.00017446183 / ((x1 * -0.36319837) + x0)) - (x0 * 0.0017279898)) - ((0.3068544 / (-3.821309 - x0)) - 0.096972145))) + 0.70754)"
27,8.809201e-7,"x1 * ((((-0.00011560656 / (x0 + (x1 * -0.3330535))) - ((x0 * x0) * 0.0017200697)) - (((0.30744678 / (-3.8212714 - x0)) - 0.09687409) * x0)) + 0.7072892)"
29,8.5953735e-7,"(x1 * (((-0.00011371926 / (x0 - (x1 * 0.33148494))) + (0.70754427 - ((x0 * x0) * 0.0017215027))) - (x0 * ((0.30723274 / (-3.8212647 - x0)) - 0.09690397)))) + -0.00032955428"
