Complexity,Loss,Equation
1,0.17926212,"x1"
3,0.16134793,"x1 * 1.1131624"
5,0.07861811,"(0.076108225 * x0) + x1"
7,0.0034306895,"((x0 - -6.127186) * x1) * 0.11662161"
8,9.1166527e-7,"(x1 * 0.4999778) * sqrt(x0 + 2.000024)"
10,8.996547e-7,"(sqrt(x0 + 2.0001583) * (x1 - 0.00023378183)) * 0.5000571"
12,8.9250676e-7,"((sqrt((x0 * 0.62549144) + 1.2477001) * 0.6316116) - -0.0017128217) * x1"
14,8.813131e-7,"x1 * (((x1 * 0.00055522524) + sqrt(0.99383414 + (x0 * 0.49729767))) * 0.7087454)"
15,8.7381204e-7,"x1 * ((sqrt((x0 * 0.6249007) + 1.2478553) * 0.6321058) - (sqrt(x1) * -0.0008719123))"
18,8.526266e-7,"((x1 * sqrt((x0 * 0.5868006) + 1.1735734)) * 0.6526758) + (1.4926989e-5 / ((x0 - 2.250271) / -1.3676621))"
20,8.405781e-7,"x1 * (sqrt((0.5867993 * x0) + 1.1735731) * (0.65267336 + (1.943429e-5 / ((x0 - 2.2502618) / (x1 + -1.9608004)))))"
23,8.40578e-7,"((1.2135022e-5 / ((x0 - 2.25023) / (x1 - (x0 / sqrt(1.1735759))))) + (0.65270233 * x1)) * sqrt(1.1735759 + (x0 * 0.5868079))"
26,8.38806e-7,"((1.9372957e-5 / ((x1 + (0.5867737 / (x0 * 1.125135))) * (x0 - 2.2502725))) * -1.1396039) + ((sqrt((x0 * 0.5867737) + 1.1736203) * x1) * 0.6526888)"
30,8.349822e-7,"((1.9372957e-5 / ((x0 - 2.2502725) * (((x1 * (x1 * x0)) + 1.1735733) * (0.27902186 / x1)))) * -1.1396039) + ((sqrt((x0 * 0.5867737) + 1.1736203) * 0.6526888) * x1)"
