Complexity,Loss,Equation
1,0.16068313,"x1"
3,0.14839491,"x1 / 0.91329867"
5,0.07097671,"x1 + (x0 * 0.06931323)"
7,0.002725208,"(x0 + 6.200012) * (x1 * 0.11608805)"
8,9.3498033e-7,"(x1 * sqrt(x0 + 2.000647)) * 0.49992266"
10,9.1368156e-7,"(sqrt(x0 + 2.0016382) * (0.49998057 * x1)) + -0.00033057394"
12,9.0876966e-7,"(x1 * (sqrt((x0 * 0.25024685) + 0.5017334) + -0.0010275118)) + -0.00031327104"
14,8.873528e-7,"sqrt(0.49992016 + (0.24995998 * (x0 - (0.00017121756 / (x0 + -0.32519528))))) * x1"
16,8.092827e-7,"sqrt(((x0 * 0.24995998) + 0.49992016) - (0.00017121756 / (x0 + (x1 * -0.32519528)))) * x1"
18,8.0925344e-7,"x1 * sqrt((x0 * 0.24995998) + (0.49992025 - (0.00017121591 / (((x1 * -0.32485285) - 0.00034243945) + x0))))"
20,7.9628785e-7,"x1 * sqrt(((0.24995929 - (0.0010502791 / (((x0 + x0) - (x1 * 0.64980775)) * x1))) * x0) + 0.50035393)"
22,7.8899814e-7,"x1 * sqrt(((0.24995998 - (((2.3284888 - x1) / (x0 + ((x0 + x0) - x1))) * 0.0014890224)) * x0) + 0.50037414)"
24,7.887897e-7,"sqrt(((0.24995998 - (((2.3284888 - (x1 + -0.028246658)) / (x0 + (x0 + (x0 - x1)))) * 0.0014890224)) * x0) + 0.50037414) * x1"
25,7.862081e-7,"sqrt(x1) * (sqrt(((x1 * 0.2501448) * x0) + (((0.6874656 - (0.00071021495 / ((x0 * 3.100562) - x1))) * x1) / 1.3722214)) + -0.00087227405)"
27,7.851953e-7,"sqrt(x1) * (sqrt(((x1 * (x0 * 0.25018564)) + 0.00019671382) + (((0.6874762 - (0.0007098889 / ((x0 * 3.100562) - x1))) * x1) / 1.3722153)) + -0.0010388407)"
29,7.8348154e-7,"sqrt(x1) * (sqrt((((x0 * 0.2501706) * (x1 + 0.00016084925)) + 0.00025081384) + (x1 * ((0.6874995 - (0.00071281864 / ((x0 * 3.0994081) - x1))) / 1.3722173))) + -0.001096155)"
