Complexity,Loss,Equation
1,0.16619542,"x1"
3,0.1444783,"x1 * 1.1308806"
5,0.072007835,"(x0 * 0.07014484) + x1"
7,0.005874128,"(x1 * 0.11487235) * (x0 + 6.2420597)"
9,0.002543466,"((-28.618708 / (x0 + 12.730701)) + 2.9412456) * x1"
11,0.0024917368,"(((-28.602703 / (x0 + 12.745134)) + 2.9512432) * x1) - 0.01604281"
13,0.0023832014,"x1 * (((x0 * 0.073455565) + 1.1272703) - (-1.6063834 / (-3.8656862 - x0)))"
15,0.002321073,"(x1 * ((1.1247402 - (-1.4871916 / (-3.745916 - x0))) + (x0 * 0.07434074))) + -0.017635195"
17,0.0022878388,"((((x0 * 0.071463406) - (-1.5111997 / (-3.8327458 - x0))) + 1.1350306) * (x1 - -0.04049241)) + -0.06370092"
21,0.0022616512,"(x1 + (((x0 * (x1 - -0.15785567)) * 0.04946298) + -0.050428327)) * (1.3101642 - (-1.8699027 / ((x0 * -0.84158593) - 3.2963445)))"
23,0.0022573865,"((1.5272745 - (-1.946296 / ((x0 * -0.9401775) - 3.2689328))) * (x1 + (((x0 * 0.056739733) * (x1 + 0.14220311)) + -0.051739227))) * 0.8021664"
25,0.0022511273,"((((((x0 * 0.05628748) * (x1 + 0.19107068)) + x1) * 0.80100113) + -0.08961894) * (1.5236996 - (-1.9462125 / ((x0 * -0.99120367) - 3.2970426)))) + 0.046507154"
27,0.0021458587,"(1.3048297 - (-1.91168 / ((x0 * -0.7991584) - 3.2597044))) * ((((x1 + (0.0067982157 / ((1.4127965 / x1) - 1.445846))) * (x0 * 0.054613866)) + x1) + -0.016634652)"
29,0.0021214094,"(((((0.012409783 / (x0 - ((1.433854 / x1) - -0.25244123))) + x1) * (x0 * 0.05410984)) + x1) * (1.3144039 - (-1.9057535 / ((x0 * -0.7883792) - 3.2657163)))) + -0.026593808"
