Complexity,Loss,Equation
1,0.17897508,"x1"
3,0.16165163,"x1 * 1.1112206"
5,0.0815871,"(x0 * 0.073776096) + x1"
7,0.006501506,"(x1 * 0.11559668) * (x0 + 6.1955566)"
9,0.0064298986,"-0.018404758 - (((x0 * -0.115296364) + -0.7309956) * x1)"
11,0.0025528101,"x1 * ((((x0 * -0.007951778) + 0.16975078) * x0) + 0.689923)"
13,0.0025146613,"(x1 - 0.012277475) * ((((x0 * -0.008031648) + 0.17120811) * x0) + 0.69638145)"
15,0.0025084373,"((x1 * ((x0 * ((x0 * 0.024323372) + -0.51960105)) + -2.1528587)) - -0.044501297) * -0.32592615"
17,0.0023142654,"(((x0 * ((-0.14450186 / ((x0 * -0.13841425) + -1.552631)) * -1.1192545)) + -0.3958847) * x1) * -1.7598827"
19,0.0022699526,"((x0 * (0.4465046 / ((((x0 - x1) * -0.15319535) + -1.8030849) * -1.5037773))) + 0.6849807) * (x1 + 0.013725649)"
21,0.0022281746,"((((x0 * -0.15940025) / (((x1 * 0.040977646) + ((x0 * -0.06424834) + -0.7773472)) * -1.7469459)) + -0.48328158) * -1.4393773) * x1"
25,0.0022277054,"((((-0.16031605 * x0) / (-1.7468094 * (((x0 * -0.064719506) + (0.04091242 * (x1 + (0.38983914 / x0)))) + -0.7772424))) + -0.4808093) * -1.4386485) * x1"
27,0.0022246689,"(((x0 * -0.15338902) / ((((((0.37374154 / x1) + 0.831365) + x1) * 0.03831764) + ((x0 * -0.062731594) + -0.78074783)) * -1.7475466)) + -0.4834238) * (x1 * -1.438657)"
29,0.002200231,"((-0.4808093 + ((x0 / (-1.7468094 * ((-0.7772424 + (-0.064719506 * x0)) + ((((-0.70582 / (x0 / -2.291697)) / x1) + x1) * 0.04091242)))) * -0.16031605)) * -1.4386485) * x1"
