Complexity,Loss,Equation
1,0.18716507,"x1"
3,0.16944431,"x1 / 0.9008429"
5,0.080089115,"x1 + (x0 / 13.054491)"
7,0.005908716,"((x0 * 0.11783991) + 0.70986706) * x1"
9,0.0058993986,"(x1 * ((x0 * 0.117779866) + 0.7153408)) + -0.00707071"
11,0.0023550172,"x1 * ((38.70847 / ((219.62248 / x0) + 16.82786)) + 0.6927431)"
13,0.0022817636,"x1 * (((x0 * 0.045036588) + 0.69791555) + (x0 / (x0 + 7.4450226)))"
15,0.0022416345,"(((14.417676 / ((133.4783 / x0) + 31.152206)) + 0.7075656) + (x0 * 0.07231264)) * x1"
17,0.0022374236,"((x0 * 0.07259255) + ((6.0875115 / ((56.34819 / x0) + 13.124279)) + 0.70983523)) * (x1 - 0.0041834675)"
19,0.0022294738,"x1 * (((x0 * 0.066157684) + (6.560195 / ((56.00501 / x0) + 11.682603))) + ((-0.003586663 / x0) - -0.7038814))"
21,0.0021801277,"((0.06782247 * x0) + (0.7066846 + (7.627081 / ((((0.96767074 / (x0 + -1.0716776)) + 66.96608) / x0) + 14.316564)))) * x1"
23,0.0021754904,"(x1 - 0.0036805484) * ((x0 * 0.069837764) + ((7.6270504 / (((x0 / (x0 + -1.0709666)) + (66.96609 / x0)) + 14.316551)) + 0.71083754))"
25,0.0021650267,"(((x0 * 0.062603004) + (7.660378 / ((((x0 / ((2.0204384 / x1) + x0)) + 14.324832) * 0.7777426) + (66.96023 / x0)))) + 0.702746) * x1"
27,0.002100854,"x1 * (((7.6271434 / ((66.9662 / x0) + (((1.9444664 / (x0 + -0.26719254)) / (x0 + (1.9444675 / x1))) + 14.315828))) + 0.7062107) + (x0 * 0.06780495))"
