Complexity,Loss,Equation
1,0.17897508,"x1"
3,0.16165163,"x1 * 1.1112187"
5,0.081587106,"x1 + (x0 * 0.07377551)"
7,0.006501506,"x1 * ((x0 * 0.11559636) + 0.71618503)"
8,0.0022791957,"x1 * (sqrt(x0 + 2.0005715) * 0.49891844)"
10,0.0022248684,"(sqrt((x0 * 0.22867475) + 0.40150303) + 0.07727546) * x1"
12,0.0022207305,"x1 * ((x0 * -0.00803383) + sqrt((x0 * 0.27005985) + 0.5035425))"
13,0.0021819854,"((sqrt(x1) * 0.043496978) + sqrt((x0 * 0.23419625) + 0.43249947)) * x1"
15,0.0021819654,"((sqrt(x1) * 0.07190619) + sqrt((x0 * 0.6182029) + 1.1399423)) * (x1 * 0.61520404)"
16,0.002169441,"x1 * ((sqrt((x0 * 0.6447753) + 1.1204932) + sqrt(sqrt(x1) * 0.018551648)) * 0.5905569)"
17,0.0021655837,"x1 * sqrt(((((sqrt(x1) * 0.023123408) + 0.2266936) + (x0 * -0.0011810338)) * x0) + 0.49914974)"
18,0.0021277764,"sqrt((x0 * (((((x1 * x1) * x1) - x0) * 0.0024859773) + 0.25127655)) + 0.5034984) * x1"
20,0.0021227275,"(sqrt((x0 * (((((x1 * x1) * x1) - x0) * 0.0021251235) + 0.25127655)) + 0.5034984) * x1) - 0.0026770378"
21,0.0021204874,"sqrt((x0 * ((sqrt(x1) * ((((x1 * x1) * x1) - x0) * 0.0024859773)) + 0.25127655)) + 0.5034984) * x1"
22,0.0021028498,"(x1 * sqrt((x0 * (((((x1 * (x1 * x1)) - x0) * x1) * 0.0016461733) + 0.2514234)) + 0.507687)) - 0.00717435"
24,0.002102623,"(sqrt((x0 * ((((x1 * 0.001957187) * (((x1 * x1) * x1) - x0)) + 0.29411998) * 0.85485786)) + 0.50763327) * x1) - 0.007100308"
26,0.0021025205,"((x1 * sqrt((((((((x1 * x1) * x1) - x0) * (x1 * 0.0021857552)) + 0.3243919) * 0.8650961) * x0) + 0.5661999)) - 0.0074521936) / 1.0563948"
