Complexity,Loss,Equation
1,0.18716507,"x1"
3,0.16944432,"x1 * 1.1100686"
5,0.080089144,"x1 + (x0 * 0.0766039)"
7,0.0059087165,"(0.7098637 - (x0 * -0.11784051)) * x1"
8,0.002212399,"x1 * sqrt((x0 * 0.25028473) + 0.49658132)"
10,0.0022077546,"sqrt((x0 * 0.25186002) + 0.50005573) * (x1 - 0.0044680755)"
12,0.0022077516,"sqrt((x0 * 0.3172078) + 0.62964433) * ((x1 + -0.004428438) * 0.8910856)"
14,0.0022064475,"0.8712633 * ((sqrt((x0 * 0.32726124) + 0.63565654) - -0.01441033) * (x1 - 0.0040748715))"
15,0.002193424,"x1 * sqrt(((x0 * sqrt((x1 * 0.040274024) + 0.67780554)) * 0.29120737) + 0.49607408)"
16,0.0021888574,"sqrt(((x0 + (((x0 + -0.5957058) * x1) * 0.028048435)) * 0.24023484) + 0.501861) * x1"
17,0.0021876781,"x1 * (sqrt(sqrt((((x0 * 0.18235622) + 1.0277106) * (x0 * 0.41312948)) + 0.51116467)) + -0.13693087)"
18,0.0021835729,"x1 * sqrt(((x0 + ((x1 * ((x1 * -0.43828717) + x0)) * 0.03264922)) * 0.23868407) + 0.5025628)"
20,0.0021832436,"x1 * sqrt(((x0 + ((x0 + ((x1 * -0.43221986) + -0.14852266)) * (x1 * 0.036153592))) * 0.23752685) + 0.5069227)"
22,0.0021656572,"sqrt(sqrt((((sqrt(x0 * (x0 * 0.07845041)) + x0) * 0.19587189) + 0.61879927) * ((x0 * 0.24890222) + 0.38726664))) * x1"
24,0.0021590593,"x1 * sqrt(sqrt((((x0 + sqrt(((x0 * 0.092543535) * x0) + 0.32538855)) * 0.2192515) + 0.58818233) * ((x0 * 0.22755858) + 0.35542214)))"
26,0.002157053,"sqrt(sqrt((((sqrt(((x0 - 0.11856585) * (x0 * 0.09495034)) + 0.19663545) + x0) * 0.17112042) + 0.48252156) * ((x0 * 0.28935578) + 0.4501701))) * x1"
28,0.0021458247,"sqrt(sqrt((((sqrt(((x0 * (x0 - (1.6282883 - x1))) + 0.32696578) * 0.088302694) + x0) * 0.19817927) + 0.6171542) * ((x0 * 0.24531105) + 0.38045242))) * x1"
