Complexity,Loss,Equation
1,0.16255741,"x1"
3,0.15256386,"x1 * 1.0847834"
5,0.081890374,"x1 - (x0 * -0.068887554)"
7,0.005667173,"x1 * ((x0 + 6.1123986) * 0.117166586)"
8,0.0024228087,"sqrt(x0 + 1.9883586) * (x1 * 0.50021106)"
10,0.0023597823,"(x1 + -0.0149884) * sqrt((x0 * 0.25571948) - -0.50923526)"
12,0.0023597341,"((x1 + -0.012384358) * sqrt((x0 - -2.0010698) * 0.25536627)) - 0.003421846"
14,0.0022930433,"x1 * ((0.0031999354 / (0.34512797 - x0)) + sqrt((x0 - -1.9788911) * 0.25086716))"
16,0.0022246235,"(x1 + -0.015557468) * ((0.0033995751 / (0.34571368 - x0)) + sqrt((x0 - -1.9736134) * 0.2570321))"
18,0.00220344,"sqrt((0.0061749876 / (0.3488164 - (x0 / x1))) + ((x0 - -1.9738501) * 0.2570754)) * (x1 + -0.016299043)"
20,0.002105092,"(x1 + -0.016207427) * ((0.0045489767 / ((0.319979 - (x0 / x1)) * x1)) + sqrt((x0 - -1.9881037) * 0.25728303))"
28,0.002089536,"x1 * sqrt(((((((-0.005667822 / x1) / (-0.311765 + (x0 / x1))) - 0.18300594) / (2.6224966 + x0)) + (-0.007035321 / x1)) + 0.25501385) * (x0 - -2.7679815))"
