Complexity,Loss,Equation
1,0.18946727,"x1"
3,0.17177022,"x1 / 0.9017347"
5,0.07624147,"(x0 * 0.08111387) + x1"
7,0.0040907282,"(0.7081399 - (x0 * -0.11860428)) * x1"
9,0.004086851,"((0.7119156 - (x0 * -0.11853517)) * x1) - 0.004759463"
11,0.0040486027,"((x1 + 0.054419607) * ((x0 * 0.11391194) + 0.7251231)) - 0.06135491"
13,0.00010404853,"((1.9611626 * (x0 + -1.998445)) * (x1 / (x0 - -12.78584))) + x1"
17,0.00010404414,"(((x0 * 0.55550903) + -1.110406) * (x1 * (-8.197129 / (-29.693329 - (x0 * 2.3197503))))) + x1"
21,0.0001040441,"x1 + ((((x0 * 0.5153423) + -1.0301262) * (x1 / (-29.112724 - (x0 + (-1.6084132 + (x0 * 1.1486003)))))) * -8.184527)"
23,0.000103862374,"x1 + ((((x1 * -8.111604) * ((x0 * 0.52365535) + -1.0497719)) + -0.03294246) / (-29.13383 - ((x0 + -1.4405624) + (x0 * 1.1642706))))"
27,0.00010314372,"x1 + (x1 * ((1.9610994 * (x0 + -1.9979107)) / ((x0 + (((x1 + 0.27681497) / (((x0 * x0) - -12.78584) + x1)) - -12.785901)) + -0.10157868)))"
