Complexity,Loss,Equation
1,0.19666725,"x1"
3,0.17593567,"x1 * 1.1172597"
5,0.07774836,"x1 + (x0 * 0.08165797)"
7,0.0042376025,"(x0 + 5.9808655) * (x1 * 0.118347466)"
8,1.1795091e-6,"(sqrt(x0 + 1.9997011) * 0.5000206) * x1"
10,1.1758831e-6,"((x1 * 0.49997443) + 6.6461806e-5) * sqrt(x0 + 1.9996678)"
12,1.1727651e-6,"(x1 + (6.0227398e-5 / x1)) * sqrt((x0 * 0.2500165) + 0.4999244)"
14,1.1511928e-6,"x1 * sqrt(((x0 - (-0.00032806577 / (x0 - 0.48747867))) * 0.25000864) + 0.50000453)"
16,1.1486097e-6,"x1 * sqrt(((x0 - (-0.000520487 / ((x0 - -0.41803) + -0.88126016))) * 0.25001568) + 0.50001234)"
18,1.139894e-6,"x1 * sqrt(((x0 - (0.00048383896 / ((x1 / (x1 + 1.6132493)) - x0))) * 0.25001666) + 0.50000685)"
19,1.1321819e-6,"x1 * sqrt(((x0 - (0.00048383896 / (sqrt(x1 * 0.50000685) - (x0 / 0.5670528)))) * 0.25001666) + 0.50000685)"
20,1.124674e-6,"x1 * sqrt(((x0 - (-0.00032806577 / (x0 + (((0.8062664 / x1) - 1.4894662) * 0.5000391)))) * 0.25000864) + 0.50000453)"
22,1.1213896e-6,"sqrt(((x0 - (-0.00032806577 / (x0 + (((0.9101334 / (x1 - -0.06067407)) - 1.4894662) * 0.5014812)))) * 0.25000864) + 0.50000453) * x1"
24,1.1201012e-6,"x1 * sqrt(((x0 - (-0.00032806577 / (x0 + ((((0.8062664 / x1) - 1.4894662) * 0.5000391) + (-0.00040134447 / x0))))) * 0.25000864) + 0.50000453)"
