Complexity,Loss,Equation
1,0.5064656,"1.2088367"
2,0.31192333,"sqrt(x1)"
3,0.16126966,"x1 / 0.8983083"
5,0.07407934,"(x0 * 0.07806615) + x1"
7,0.0039730757,"((x0 * 0.11848674) + 0.7104389) * x1"
8,1.0930039e-6,"(x1 * sqrt(x0 + 1.9993565)) * 0.5000375"
12,1.0896281e-6,"sqrt(x1 * ((x1 - -0.00019073876) * (0.49985752 + (x0 * 0.25001332))))"
14,1.0885195e-6,"sqrt(((0.9156799 - x0) * 0.75001305) + (-0.18694288 + x0)) * (0.00013219983 + x1)"
16,1.0884875e-6,"(0.00016154266 + x1) * sqrt((0.19780852 + (x0 + ((0.9151279 - x0) * 0.75002605))) + -0.38438442)"
22,1.0758043e-6,"0.00044363763 + (x1 * sqrt(((-0.1864237 - (x0 * 0.75074923)) - x1) + (((x1 + (x0 - -0.49298528)) - -0.19133766) / 0.9992839)))"
24,1.0745177e-6,"sqrt(((-0.18635939 - (x0 * 0.75080675)) - x1) + (((x0 - -0.19140297) + (x1 - -0.4930488)) / 0.99930346)) * ((x1 - -0.5505627) + -0.5501585)"
28,1.0744968e-6,"sqrt((((x1 - -0.4930493) + (((x0 + x1) - x1) - -0.19140346)) / 0.9993031) + ((-0.1863589 - (x0 * 0.75080514)) - x1)) * ((x1 - -0.55056274) + -0.5501584)"
