Complexity,Loss,Equation
1,0.18946727,"x1"
3,0.17177022,"x1 * 1.1089017"
5,0.07624148,"x1 + (x0 * 0.081113316)"
7,0.0040907282,"x1 * ((x0 * 0.1186043) + 0.70813984)"
8,1.1053262e-6,"x1 * sqrt(0.49986193 - (x0 * -0.25005716))"
10,1.1053162e-6,"sqrt((x0 * 0.32287198) - -0.6454188) * (x1 * 0.8800436)"
12,1.0965224e-6,"sqrt(((x1 * 0.00038175186) - (x0 * -0.25005502)) - -0.49933645) * x1"
15,1.0957024e-6,"x1 * sqrt((((sqrt(x1) * (-0.00079857034 * x1)) - x0) * -0.25005332) - -0.49950817)"
17,1.095689e-6,"x1 * sqrt(((((sqrt(x1) + -0.0007986042) * (x1 * -0.0007986042)) - x0) * -0.25005326) - -0.4995082)"
18,1.0738274e-6,"x1 * sqrt((((-9.211825e-5 / ((x0 * -0.8664617) + -0.18405674)) * -0.31692877) - (x0 * -0.25008175)) - -0.49982354)"
20,1.0719262e-6,"x1 * sqrt((((-9.8271266e-5 / ((x0 * -0.8664617) + -0.18405661)) * (x0 + -0.18405561)) - (x0 * -0.25007433)) - -0.49972814)"
26,1.0651513e-6,"sqrt((((0.00022113357 / ((1.0550528 - ((((x0 + x0) / (x1 * x1)) / x1) * x1)) * 2.8888505)) - x0) * -0.2500642) - -0.49981943) * x1"
29,1.0648446e-6,"sqrt((((0.00026393234 / (((-0.107582025 - 0.7401225) + ((x0 + (x0 + x0)) - sqrt(x1))) - ((x0 * 0.4562662) + x0))) - x0) * -0.25006893) - -0.49982318) * x1"
