Complexity,Loss,Equation
1,0.20118737,"x1"
3,0.18029878,"x1 * 1.1176797"
5,0.08041925,"x1 + (x0 * 0.082296096)"
7,0.007456085,"((x0 * 0.11874036) + 0.7069044) * x1"
9,0.0074293637,"((x0 + 5.941485) * 0.11789549) * (x1 - -0.011556115)"
11,0.003265477,"((0.19551736 - (x0 * 0.0075480347)) * (x0 + 3.5004745)) * x1"
13,0.0032554467,"(x0 + 3.500425) * (((0.19464159 - (x0 * 0.0075336345)) * x1) + 0.0011138871)"
15,0.003252961,"(((x1 * ((x0 * 0.0075120954) - 0.15130419)) + -0.0029202597) * (2.054901 - x0)) + x1"
17,0.0030068178,"((x0 + 2.9636273) * (0.23428357 - ((x0 * (0.4609641 - (x0 * 0.02105994))) * 0.03821544))) * x1"
19,0.0030066466,"(x1 - (0.26287556 * (((x0 * (((x0 * -0.004511893) + 0.08452992) * x1)) - x1) * x0))) * 0.6943816"
21,0.0029938545,"(x1 - ((x0 * ((x0 * (((x0 * -0.0045508393) + 0.08513837) * x1)) - (x1 + 0.012045293))) * 0.26039115)) * 0.6943709"
23,0.0029308049,"(x1 - ((x0 * ((x1 * (x0 * ((x0 * ((x0 * 0.0010445713) + -0.018249402)) + 0.13141146))) - x1)) * 0.26205325)) * 0.70588684"
25,0.0029135575,"(x1 - (((x0 * ((((x0 * ((x0 * 0.0002817042) + -0.0048886277)) + 0.03518863) * x1) + -0.0005738053)) - (x1 * 0.2619581)) * x0)) * 0.70616245"
27,0.0029131516,"(x1 - (((((x1 * x0) * ((x0 * ((x0 * 0.0010813196) + -0.018771151)) + 0.13375838)) + (-0.016059993 - x1)) * (0.25779805 * x0)) - -0.004097456)) * 0.7083706"
29,0.0029131167,"(((x1 - ((x0 * 0.2576178) * ((-0.016796209 - x1) + (((((x0 * 0.0010873073) + -0.018867094) * x0) + 0.13420507) * (x0 * x1))))) + 0.0010148669) - 0.005647919) * 0.70874685"
