Complexity,Loss,Equation
1,0.2077378,"x1"
3,0.19224066,"x1 * 1.1001352"
5,0.08842101,"x1 - (x0 * -0.083649874)"
7,0.0076477095,"((x0 * 0.120004475) - -0.7019823) * x1"
9,0.0076238387,"(0.69602126 - (x0 * -0.11921799)) * (x1 - -0.010893918)"
11,0.003189894,"x1 * ((((x0 * -0.007656127) + 0.17003514) * x0) + 0.6838275)"
13,0.0030776851,"((x0 / ((x0 * 0.18069437) - -2.7415164)) - -1.5268784) * (x1 * 0.4582598)"
15,0.0028931834,"(((-0.2672436 / ((x0 * -0.119486004) - 1.4828575)) * x0) * x1) - (x1 * -0.69172347)"
17,0.0027759818,"x1 * (((x0 * (-0.06406242 - (-0.10937702 / ((x0 * -0.19293179) - 0.9445451)))) - 0.6941779) * -1.0174569)"
19,0.002775981,"(((x0 * -0.06406242) - ((x0 * -0.10937702) / ((x0 * -0.19293179) - 0.9445451))) - 0.6941779) * (x1 * -1.0174569)"
21,0.0027759469,"((((x0 * -0.06385125) - ((x0 * -0.109581195) / ((x0 * -0.19205001) - 0.9448668))) - 0.6939865) * (x1 * -1.0175738)) - 1.9047106e-6"
