Complexity,Loss,Equation
1,0.18499726,"x1"
3,0.16622505,"x1 * 1.1135272"
5,0.07700383,"x1 - (x0 * -0.07884028)"
7,0.007365593,"x1 * (0.70868665 - (x0 * -0.11907325))"
9,0.0073272907,"(0.70097286 - (x0 * -0.118049115)) * (x1 - -0.013632957)"
11,0.0027781408,"x1 * (0.6908484 + (x0 / ((x0 / 2.1697717) + 5.479522)))"
13,0.0027678106,"((x0 / ((x0 / 2.156377) + 5.499673)) + 0.68697387) * (x1 - -0.006979765)"
15,0.0027609929,"((x0 / ((x0 / 2.1429527) + 5.5637918)) * (x1 - -0.02030909)) + (x1 * 0.69069654)"
17,0.002757477,"(x1 * 0.6908359) + ((((x1 - 0.014896645) / ((x0 / 2.1191647) + 5.5422964)) - -0.004405409) * x0)"
19,0.0027094677,"((x0 * (x1 - -0.028430644)) / ((x0 / 2.107329) + (5.5865803 - (-0.29930344 / x0)))) + (x1 * 0.69937134)"
21,0.0026837518,"(0.69082206 * x1) + ((x1 - -0.021399366) * (x0 / ((x0 / 2.1141508) + (5.537151 - (-0.047553986 / (x0 - 0.9361836))))))"
23,0.002683529,"((x0 / ((x0 / 2.1141508) + (5.537151 - ((-0.047553986 / (x0 - 0.9361836)) * 0.9873341)))) * (x1 - -0.021399366)) + (x1 * 0.69082206)"
25,0.002682875,"((x0 / (((x0 / 2.1141508) + 5.537151) - (-0.047553986 / ((x0 - 0.9361836) * (0.59620005 + x1))))) * (x1 - -0.021399366)) + (x1 * 0.69082206)"
27,0.0026800283,"((x0 * x1) / ((x0 / 2.1473124) + (5.508652 - (-0.091321036 / ((x0 * (x0 * -0.6173172)) - ((x1 * -1.0064311) - 5.5370407)))))) + (x1 * 0.69370997)"
29,0.0026540984,"((x1 - -0.02022273) * (x0 / ((5.5365486 - (-0.096876025 / ((-0.61834735 * (x0 * x0)) - ((x1 * -1.0030608) - 5.5508685)))) + (x0 / 2.1153378)))) + (x1 * 0.691705)"
