Complexity,Loss,Equation
1,0.19634445,"x1"
3,0.17870569,"x1 / 0.9019249"
5,0.08048635,"x1 - (x0 * -0.08205016)"
7,0.007395157,"((x0 * 0.119881615) + 0.70364434) * x1"
9,0.0073873242,"(((x0 * 0.11978334) + 0.7090103) * x1) + -0.0067640916"
11,0.0028794676,"((x0 * (2.2079456 / (x0 + 12.098675))) + 0.6885462) * x1"
13,0.0028794033,"(x1 * (((x0 * 2.2104607) / (x0 + 12.119921)) + 0.6891989)) + -0.00084080733"
17,0.002762474,"((x1 * x0) / ((x0 + 4.7373323) / ((x0 * 0.06611822) + 0.87828684))) + (x1 * 0.7029869)"
19,0.002762011,"((x0 / ((x0 + 4.7484856) / ((x0 * 0.06600639) + 0.8801515))) * x1) + ((x1 * 0.7042121) - 0.0016115933)"
23,0.0027479203,"(0.7007137 * x1) + ((x0 * x1) / ((5.4406176 + x0) / ((0.059349354 * x0) + ((0.004726133 / (x1 + -0.33130938)) + 1.004844))))"
25,0.002735001,"(x1 * 0.6999523) + ((x0 * x1) / ((x0 + 5.440474) / (((x0 * 0.059365865) + (0.002655727 / ((x1 * 0.996262) + -0.32999483))) + 1.0045218)))"
27,0.002731004,"((x0 * x1) / ((5.4406176 + x0) / (1.004844 + (0.059349354 * ((0.059349354 / (x1 + ((x0 + 0.7289429) + -0.057895727))) + x0))))) + (x1 * 0.7007137)"
