Complexity,Loss,Equation
1,0.20118737,"x1"
3,0.18029879,"x1 * 1.1176801"
5,0.080419235,"x1 + (x0 * 0.082296036)"
7,0.0074560866,"x1 * ((x0 * 0.11873956) - -0.7069086)"
8,0.0029488404,"sqrt((x0 / 3.9828076) + 0.49823087) * x1"
10,0.0029397274,"sqrt((x0 / 4.0196776) + 0.49316913) * (x1 - -0.0066570635)"
12,0.002935514,"sqrt((x0 / 4.0056043) + 0.4950847) * (x1 - (-0.004743643 / x1))"
13,0.0029342812,"(x1 - (-0.0048258486 / sqrt(x1))) * sqrt((x0 / 4.005518) + 0.49464995)"
14,0.002883407,"x1 * ((0.00529339 / (x0 + -0.4763288)) + sqrt((x0 / 3.9893343) + 0.49761212))"
16,0.0028608586,"((0.004085361 / (x0 + -0.4670085)) + sqrt((x0 / 4.0336576) + 0.49417374)) * (x1 - -0.006504488)"
18,0.002822044,"sqrt(((0.011001024 / ((x1 * (x0 + -0.82073516)) + x0)) + (x0 / 4.0043316)) + 0.4997735) * x1"
28,0.0028036362,"((((-0.40695393 - (x1 / ((x0 * x1) + (0.4924377 + x0)))) * -0.0031133995) / (x0 + -0.46911815)) + sqrt((x0 / 4.0340743) + 0.4924377)) * (x1 - -0.006837387)"
