Complexity,Loss,Equation
1,0.15966272,"x1"
3,0.1440448,"x1 * 1.1067927"
5,0.07105201,"x1 - (x0 * -0.0702068)"
7,0.0032599247,"((x0 + 6.279832) * 0.11529021) * x1"
9,0.00024052965,"((-21.721067 / (x0 + 10.790952)) - -2.708666) * x1"
11,9.177156e-5,"((0.5393398 / ((3.1059072 / x0) + 0.22907585)) - -0.6964323) * x1"
13,9.1733236e-5,"(x1 * ((0.54000026 / ((3.1089942 / x0) + 0.22945522)) + 0.6960672)) + 0.00047217828"
15,4.865973e-6,"x1 * (((0.39367768 / ((3.467667 / x0) + 0.7056152)) + (x0 * 0.06645816)) - -0.70701814)"
17,4.4993717e-6,"x1 * ((0.6802073 / (((x0 * 1.0921813) + 5.8335166) / x0)) + ((x0 * 0.06299295) - -0.70559454))"
19,4.3957157e-6,"x1 * ((x0 * 0.0634986) + ((((x0 * (2.157889 / (x0 + 5.2804255))) + -0.9691221) * 0.2841914) - -0.981206))"
21,4.3772984e-6,"x1 * ((((0.40741086 / ((2.6143684 / x0) + 0.5103918)) + (x0 * 0.08814563)) - -0.9589148) / ((x0 - x0) + 1.3578814))"
