Complexity,Loss,Equation
1,0.19030261,"x1"
3,0.1563478,"x1 * 1.1565982"
5,0.077019505,"x1 + (x0 * 0.07475961)"
7,0.0033275285,"x1 * ((x0 * 0.11463076) + 0.7207177)"
9,0.0032867612,"(((x0 * 0.11480803) + 0.7094948) * x1) + 0.013976755"
11,9.29709e-5,"((2.4038277 / ((x0 + 13.927409) / x0)) + 0.69541156) * x1"
13,4.2590314e-6,"x1 * ((((0.5994014 / (x0 + 5.1782355)) + 0.06410711) * x0) + 0.70636284)"
15,4.2504803e-6,"(x1 * ((x0 * ((0.5995028 / (x0 + 5.178211)) + 0.064096324)) + 0.70652384)) + -0.00020368767"
17,4.2465226e-6,"((x1 + 0.00048594718) * ((x0 * ((0.59986895 / (x0 + 5.1781707)) + 0.06401724)) + 0.7067953)) - 0.00087364245"
19,9.588551e-7,"x1 * ((((3.8906133 / (x0 + 36.16944)) * x0) + (x0 * (0.2424917 / (x0 + 3.491427)))) + 0.7075836)"
21,9.556891e-7,"(((0.24145728 / (x0 + 3.4875622)) * x0) + (((3.8775208 / ((x0 - -0.32076535) + 35.65915)) * x0) + 0.7075626)) * x1"
23,9.5270303e-7,"((((x0 * 0.24332424) / (x0 + 3.493616)) + 0.7076101) + (((x0 * 3.8966436) / (x0 + 36.27377)) - (6.294595e-5 / x0))) * x1"
25,8.9658954e-7,"((x0 * (3.8950684 / (x0 + 36.273945))) + (((-0.00014284915 / (x0 + -0.22892906)) + (x0 * (0.24360524 / (x0 + 3.4931045)))) + 0.70767266)) * x1"
27,8.458891e-7,"((((x0 / (x0 + 36.273945)) * 3.8950677) + ((x0 * 0.24363846) / (x0 + 3.4931037))) + ((-0.00020824639 / ((x0 * x1) + -0.22893575)) + 0.70765716)) * x1"
