Complexity,Loss,Equation
1,0.16902012,"x1"
3,0.13400677,"x1 * 1.1605711"
5,0.06460546,"(x0 * 0.07377978) + x1"
7,0.0029776075,"((x0 + 6.4775267) * 0.113123365) * x1"
9,0.002960973,"((x0 * 0.11260508) + 0.72782457) * (x1 - -0.00789325)"
11,9.4374096e-5,"x1 * ((x0 / ((x0 * 0.42502534) + 5.7260256)) + 0.69457245)"
13,4.278473e-6,"x1 * ((x0 * ((0.61270905 / (x0 + 5.2638955)) + 0.06343767)) + 0.7058946)"
15,4.2781603e-6,"x1 * (((x0 * ((0.6069106 / (x0 + 5.2242866)) + 0.06373048)) + 0.6648106) - -0.041224435)"
17,4.2756856e-6,"x1 * ((x0 * ((0.6103714 / ((x0 + (x0 / x0)) + 4.247313)) + 0.06355112)) + 0.7059585)"
19,4.2752154e-6,"(((x0 * ((0.6104067 / (x0 + ((x0 / x0) + 4.247456))) + 0.06354959)) + 0.7059234) * x1) + 4.069077e-5"
21,4.238964e-6,"x1 * ((((0.6090806 / ((x0 + 3.0362544) + ((x0 / (x0 + -0.03139575)) - -1.2116333))) + 0.063579604) * x0) + 0.70664006)"
23,4.2344122e-6,"x1 * (((((0.6088012 / (((x0 / (x0 - 0.03659138)) + (x0 + 3.0363035)) - -1.2116798)) + 0.063589275) * x0) - -0.3938463) + 0.31291315)"
25,2.6492999e-6,"x1 * (((x0 * ((0.7546632 / ((((-0.07769929 / (x0 + x1)) + x0) + (x0 / x0)) + 5.4210286)) + 0.057120733)) - -0.24500065) + 0.46117395)"
