Complexity,Loss,Equation
1,0.18334782,"x1"
3,0.14684218,"x1 * 1.1596245"
5,0.07103104,"(x0 * 0.075717464) + x1"
7,0.003185896,"((x0 - -6.368943) * x1) * 0.11415596"
9,0.0031623342,"((x0 * 0.11353586) - -0.7214398) * (x1 - -0.009368576)"
11,0.00028502976,"x1 * ((x0 * (0.16124494 - (x0 * 0.006543443))) + 0.692925)"
13,0.00028481125,"(x1 * ((((x0 * -0.006539648) - -0.1612332) * x0) + 0.69209576)) - -0.0010546215"
15,0.00028480918,"(((((x0 * -0.006539113) - 0.8387708) * x0) + (x0 + 0.6920902)) * x1) - -0.0010652153"
17,4.296988e-5,"((x0 * ((((x0 * 0.00041033488) + -0.007537251) * (x0 + x0)) + 0.17937364)) + 0.69834495) * x1"
19,4.0428804e-6,"(((x0 * ((((x0 * -1.1166556) + x0) / (x0 - -5.2993984)) + -0.8201577)) + 0.7055984) + x0) * x1"
21,3.143406e-6,"((x0 + 0.7068469) + (x0 * (((x0 + 0.1481726) * ((-0.084938586 / (x0 - -3.7658381)) + -0.0016630748)) + -0.8186152))) * x1"
23,8.8832417e-7,"x1 * (((((x0 * -0.0017164102) + (((x0 + 0.14822395) * -0.08344414) / (x0 - -3.76587))) + -0.8193167) * x0) + (x0 + 0.7074143))"
25,8.6931027e-7,"((x0 * ((x0 * -1.0018165) + ((((x0 + 0.24820425) * (-0.08374982 / (x0 - -3.6757233))) + -0.8171764) + x0))) + (x0 + 0.707576)) * x1"
