Complexity,Loss,Equation
1,0.16902012,"x1"
3,0.13400677,"x1 * 1.1605711"
5,0.06460546,"x1 + (x0 * 0.07377976)"
7,0.0029776068,"((x0 + 6.4775) * 0.11312347) * x1"
8,8.778545e-7,"(sqrt(x0 + 2.0013528) * x1) * 0.49996"
10,8.5549124e-7,"((sqrt(x0 + 2.0071363) * 0.5004013) - 0.0017275617) * x1"
12,8.53431e-7,"x1 * ((sqrt(x0 + 2.0047445) * 0.49950916) - (x0 * -0.0001686993))"
15,8.5187423e-7,"((x1 * 0.49970788) - (sqrt(x1) * (x0 * -3.9755123e-5))) * sqrt(x0 + 2.003279)"
17,8.5030086e-7,"((x1 * 0.49970266) - ((0.5229584 - (sqrt(x1) * x0)) * 4.3034626e-5)) * sqrt(x0 + 2.003473)"
19,8.498799e-7,"sqrt(x0 + 2.00351) * ((x1 * 0.49969956) - (((sqrt(x1 - 0.1407449) * x0) - 0.52295786) * -4.3445172e-5))"
