Complexity,Loss,Equation
1,0.18334782,"x1"
3,0.14684218,"x1 * 1.1596243"
5,0.071031034,"(x0 * 0.07571796) + x1"
7,0.0031858957,"((x0 * 0.1141558) + 0.7270542) * x1"
8,7.6733465e-7,"(sqrt(x0 + 2.000565) * x1) * 0.49995884"
12,7.415551e-7,"x1 / sqrt((1.1685057 / ((x0 + 2.0025773) / 3.4285753)) + -0.00059248885)"
17,7.415435e-7,"x1 / sqrt((-0.0011223473 / sqrt(x1 - -1.9918777)) + (1.1685042 / ((x0 + 2.002577) / 3.4285748)))"
18,7.409819e-7,"x1 / sqrt((-0.0011223473 / sqrt(sqrt(x1) + 2.37035)) + (1.1685042 / ((x0 + 2.002577) / 3.4285748)))"
22,7.0379036e-7,"x1 / sqrt(1.1681867 / (((x0 + (((x0 * x0) + (2.0026033 / (-0.52630115 + x0))) * 0.00016791634)) + 2.0026054) / 3.428467))"
24,6.9766566e-7,"x1 / sqrt(1.1681867 / (((x0 + ((((2.0026033 / (-0.52630115 + x0)) + (x0 * x0)) + x0) * 0.00016791634)) + 2.0026054) / 3.428467))"
26,6.9458486e-7,"x1 / sqrt(1.1681867 / ((x0 + ((((((1.2916917 / x1) / (x0 + -0.52630115)) + (x0 * x0)) + x0) * 0.00016791634) + 2.0026054)) / 3.428467))"
