Complexity,Loss,Equation
1,0.14566511,"x1"
3,0.1209909,"x1 * 1.133894"
5,0.058004387,"(x0 * 0.06876839) + x1"
7,0.002412938,"x1 * ((x0 + 6.523902) * 0.11317862)"
8,7.56914e-7,"sqrt((x0 * 0.24998292) + 0.4999793) * x1"
10,7.5665844e-7,"(x1 * sqrt((x0 * 0.24998423) - -0.5000151)) + -3.296637e-5"
12,7.5282486e-7,"sqrt((x0 * 0.24999695) + 0.49998796) * (x1 + (-4.211365e-5 / x1))"
14,6.845749e-7,"sqrt((0.49992257 + (x0 * 0.2500215)) + (-4.6502073e-6 / (x1 - 1.0570204))) * x1"
20,6.7285094e-7,"(-1.0554327e-5 / (x0 - 0.50002146)) + (sqrt(((x0 * 0.2500215) + (-1.0554327e-5 / (x1 - 1.0585623))) - -0.49990526) * x1)"
22,6.5754364e-7,"(-1.0554327e-5 / ((x0 - 0.49992257) * x1)) + (x1 * sqrt(((x0 * 0.2500215) + (-1.0554327e-5 / (x1 - 1.0585623))) - -0.49990526))"
23,6.5740926e-7,"(-1.0554327e-5 / ((x0 - sqrt(0.2500215)) * x1)) + (x1 * sqrt(((0.2500215 * x0) + (-1.0554327e-5 / (x1 - 1.0585623))) - -0.49990526))"
24,6.5645e-7,"(-1.0554327e-5 / ((x0 - 0.49992257) * (0.7368984 * x1))) + (x1 * sqrt(((x0 * 0.2500215) + (-1.0554327e-5 / (x1 - 1.0585623))) - -0.49990526))"
26,6.515498e-7,"(sqrt(((x0 * 0.2500215) + 0.49992257) - ((-1.0554327e-5 - (-1.0554327e-5 / (x1 - 1.0585623))) * 0.76048577)) * x1) + (-1.0554327e-5 / (x1 * (x0 - 0.49992257)))"
28,6.5139506e-7,"(sqrt(((x0 * 0.2500215) + 0.49992257) - (((x1 - x1) - (-1.0554327e-5 / (x1 - 1.0585623))) * 0.76048577)) * x1) + (-1.0554327e-5 / (x1 * (x0 - 0.49992257)))"
29,6.511487e-7,"(x1 * sqrt((0.2500215 * (x0 + (-1.0554327e-5 / (1.0585623 - x1)))) + ((-1.0554327e-5 / (x1 - 1.0585623)) - -0.49990526))) + (-1.0554327e-5 / (x1 * (x0 - sqrt(0.2500215))))"
30,6.371844e-7,"(-1.0554327e-5 / (x1 * (x0 - 0.49992257))) + (x1 * sqrt((x0 * 0.2500215) + (0.49992257 - ((-1.0554327e-5 / (-0.66406024 * (x0 + 0.49992257))) - (-1.0554327e-5 / (x1 - 1.0585623))))))"
