Complexity,Loss,Equation
1,0.19174308,"x1"
3,0.15736882,"x1 * 1.1575702"
5,0.07896582,"x1 - (x0 * -0.074591905)"
7,0.004615829,"(x1 * (x0 + 6.304326)) * 0.11453302"
9,0.004603918,"(x1 * ((x0 * 0.11462789) + 0.71599424)) + 0.007553423"
11,0.002243842,"(((x0 * 2.7245383) / (x0 + 16.715857)) + 0.6995844) * x1"
13,0.0022378997,"(x1 - 0.0047171344) * (((x0 / (x0 + 16.372736)) * 2.692045) + 0.7021353)"
15,0.0022248114,"x1 * ((((x0 * 2.8558753) / (x0 + 17.847628)) + 0.69964635) - (-0.0032744256 / x0))"
17,0.0021020512,"((((2.690065 / (x0 + 16.372076)) * x0) + 0.6975363) * x1) - (-0.001218367 / (x1 + -0.5600668))"
25,0.0020645417,"(((x0 * (2.701443 / (x0 + 16.371471))) + 0.6983663) * x1) - ((0.0020637875 - (x0 * -0.008756696)) / (x1 + ((x0 + -0.12824893) + x0)))"
29,0.002023516,"(x1 - (-0.0024559244 / ((x0 + ((x0 * ((x0 * 0.25455737) + 0.27196887)) + -0.5753688)) + (x1 * x1)))) * (((x0 / (x0 + 16.371828)) * 2.6925285) + 0.69607353)"
