Complexity,Loss,Equation
1,0.14666441,"x1"
3,0.12262886,"x1 * 1.1321378"
5,0.06027093,"x1 - (x0 * -0.06905761)"
7,0.0038684888,"x1 * (0.73631835 - (x0 * -0.11326565))"
9,0.0038683482,"((0.73562664 - (x0 * -0.11327208)) * x1) + 0.00087005633"
11,0.0019807871,"(0.70300776 - (x0 / (-6.2593975 - (x0 / 2.8017225)))) * x1"
13,0.0018610137,"(0.7134804 - (x0 * ((0.3246012 / (-3.3664644 - x0)) + -0.08141982))) * x1"
17,0.0018606908,"(0.62961024 - (((0.6134131 / (-5.4977746 - (x0 * 1.4226567))) + -0.07762567) * (x0 - -0.4343069))) * x1"
19,0.0018582933,"x1 + ((x1 + -0.018171526) * (-0.088651694 - ((((0.3572509 / (-3.5192785 - x0)) + -0.080357395) * x0) + 0.2034853)))"
23,0.0018216134,"x1 + (x1 * (-0.07036593 - (0.22408865 + (x0 * (-0.06948157 + (0.51865256 / ((-4.780205 - (-0.07036593 / (-0.07036593 + x0))) - x0)))))))"
25,0.0017112012,"x1 + ((-0.07036593 - (0.22408865 + (x0 * (-0.06948157 + (0.51865256 / ((-4.780205 - (-0.07036593 / (x0 + (1.5192233 - x1)))) - x0)))))) * x1)"
