Complexity,Loss,Equation
1,0.14666441,"x1"
3,0.12262886,"x1 * 1.1321377"
5,0.06027093,"x1 + (x0 * 0.0690576)"
7,0.003868488,"(x0 + 6.5008135) * (x1 * 0.11326562)"
8,0.0018922674,"(sqrt(x0 + 2.004765) * x1) / 2.003931"
10,0.0018834575,"(sqrt(x0 + 2.2665036) + -0.13651586) * (x1 / 1.9379836)"
12,0.0018814343,"((-0.0019347946 / x1) + x1) * (sqrt(x0 + 2.005337) / 2.0013232)"
14,0.0017875736,"((x1 * sqrt(x0 + 1.9813472)) / 1.9986709) + (-0.005876281 / (x0 + -0.180107))"
16,0.0017183103,"((-0.0020808415 / ((x1 + x0) + -0.61263)) + (sqrt(x0 + 1.9677488) / 1.9984486)) * x1"
18,0.0017173296,"(x1 + -0.002477468) * ((-0.0021938954 / ((x1 + -0.61454225) + x0)) + (sqrt(x0 + 1.9806399) / 1.9956874))"
20,0.001710949,"(x1 + (-0.0021338805 / x1)) * ((-0.0021338805 / ((x0 + -0.6147854) + x1)) + (sqrt(x0 + 1.9680482) / 1.9957087))"
22,0.0016281499,"(x1 * ((-0.0021244655 / (x0 + (-0.6148463 + x1))) + (sqrt(x0 + 1.9680345) / 1.9957292))) + (-0.004995956 / (x0 + -0.17135914))"
24,0.0015967096,"(((-0.0021338805 / ((x0 + -0.6147854) + x1)) + (sqrt(1.9680482 + x0) / 1.9957087)) * x1) + (-0.005217221 / ((x0 * x1) + -0.16457842))"
26,0.0015814856,"(((-0.0021338805 / ((x0 + -0.6147854) + x1)) + (sqrt(1.9680482 + x0) / 1.9957087)) * x1) + (-0.005217221 / ((x0 * x1) + (0.17302366 / -0.8417972)))"
28,0.0015741345,"((((x1 / (x0 + (x1 + -0.6151975))) * -0.0019660885) + (sqrt(x0 + 1.9721953) / 1.9956297)) * x1) + (-0.0048720464 / (((x0 * x1) / 1.0130593) + -0.22093576))"
