Complexity,Loss,Equation
1,0.18036847,"x1"
3,0.16220216,"x1 * 1.1092699"
5,0.07384792,"(x0 * 0.07616211) + x1"
7,0.0037884386,"x1 * ((x0 * 0.116369046) + 0.7196144)"
9,0.0037863774,"((x0 * 0.116116785) + 0.7179854) * (x1 - -0.0030382553)"
11,0.0036284751,"((0.003869847 / x0) + ((x0 * 0.11575658) + 0.72191525)) * x1"
13,6.974244e-6,"((2.4997551 / (-4.702855 - x0)) + ((x0 * 0.06781097) + 1.2388428)) * x1"
15,4.8868087e-6,"(((x0 * 0.06519727) + 1.2862403) + (1.5348492 / ((-5.0443954 - x0) / 1.9052532))) * x1"
17,4.8631555e-6,"x1 * ((((x0 * 0.061798144) + (1.4981174 / ((-5.0687747 - x0) / 1.8758796))) + 1.2259356) * 1.0520005)"
21,4.6268333e-6,"((((x0 * 0.077890255) + 1.2369827) + (1.4641869 / ((-5.076454 - x0) / 1.8489729))) * (1.0022998 - (x0 * 0.005691981))) * x1"
23,4.333883e-6,"(1.0191796 - ((x0 + 0.6706555) * 0.004072099)) * ((((1.4737355 / ((-5.0658264 - x0) / 1.8565391)) + 1.2344221) + (x0 * 0.07290257)) * x1)"
27,1.9878207e-6,"x1 * ((1.1210243 / (-2.366181 - (1.4431468 / (((-6.933848 - x0) / 2.4552305) + 0.89585453)))) + (((x0 * 0.10795793) + (x0 * (x0 * -0.0023220212))) + 1.4016103))"
29,1.9261734e-6,"x1 * (((1.1208562 / (-2.3677258 - (1.4429395 / (((-6.9341884 - x0) / 2.4547877) + 0.8954544)))) + ((x0 * x0) * -0.0023583914)) + (((x0 * 0.10833281) - -0.14230049) + 1.2579563))"
