Complexity,Loss,Equation
1,0.18192902,"x1"
3,0.16081847,"x1 / 0.893255"
5,0.07423316,"x1 + (x0 * 0.07590065)"
7,0.0032147607,"((-6.272355 - x0) * x1) * -0.115163594"
9,0.0032051106,"((x0 * 0.11467973) + 0.7188896) * (x1 - -0.006247792)"
11,0.00025640122,"((((x0 * -0.0063808635) + 0.15988804) * x0) - -0.6953204) * x1"
13,0.00025533972,"(((((x0 * -0.0063876603) + 0.15992528) * x0) - -0.69707334) * x1) - 0.0023600422"
15,4.1963485e-5,"x1 * ((((x0 * ((x0 * 0.00078771205) + -0.014627639)) + 0.17751215) * x0) - -0.70038736)"
19,4.1709427e-5,"(x1 * ((x0 * ((x0 * (-0.0147341965 - ((-0.14486383 - x0) * 0.0007866868))) + 0.1775074)) - -0.70123905)) + -0.0011552811"
21,4.0851977e-5,"(((x0 * ((x0 * (((3.4277422 - x0) * -0.0007787895) + -0.011797052)) + 0.17583211)) - -0.70495236) * (x1 + 0.012105511)) + -0.014649226"
23,4.070892e-5,"(((x0 * (((x0 + 0.1821723) * (((4.8328705 - x0) * -0.0007809381) + -0.010865361)) + 0.17869069)) - -0.7046647) * (x1 + 0.011023938)) + -0.013494772"
