Complexity,Loss,Equation
1,0.16885349,"x1"
3,0.15498383,"x1 * 1.095169"
5,0.074262954,"(x0 / 13.175745) + x1"
7,0.0036152063,"((x0 * 0.11766006) + 0.718398) * x1"
9,0.0036114736,"(x1 + 0.004089457) * ((x0 * 0.11734112) + 0.71616834)"
11,0.00034623878,"x1 * ((x0 * ((x0 * -0.006856044) + 0.16305314)) - -0.6922775)"
13,8.308605e-6,"x1 * ((x0 * 0.070087746) + (1.2051806 - (2.240595 / (x0 + 4.5122046))))"
15,7.3565907e-6,"(x1 * (((x0 * 0.068880275) + 2.2254658) - (2.4079082 / (x0 + 4.644375)))) - x1"
17,1.1929558e-6,"((x0 * ((x0 * -0.0018436867) + 0.09958791)) + (0.99008524 - (1.0268865 / (x0 + 3.636783)))) * x1"
19,1.1924512e-6,"(((0.9901328 - (1.0274972 / (x0 + 3.6382139))) + (x0 * (x0 * -0.0018447071))) + (x0 * 0.09959536)) * x1"
25,1.1918515e-6,"x1 * ((((-0.13741888 + (x0 * (x0 + x0))) + x0) * -0.00092207734) + (((x0 * 0.10049291) + 0.99028164) - (1.0292178 / (x0 + 3.6405942))))"
27,1.1678841e-6,"(((x0 * -0.0010073872) * ((((x0 + x0) + x1) / 1.091144) - x1)) + (((x0 * 0.09945781) + 0.9903777) - (1.0291312 / (x0 + 3.6406345)))) * x1"
