Complexity,Loss,Equation
1,0.18339157,"x1"
3,0.15786761,"x1 * 1.1293324"
5,0.071890876,"x1 - (x0 * -0.07858873)"
7,0.005209382,"(x1 * (x0 + 6.343995)) * 0.114506654"
9,0.002292863,"x1 * ((-36.313755 / (x0 + 14.638826)) + 3.177389)"
11,0.0022786467,"((-36.20148 / (x0 + 14.56689)) - -3.1863034) * (x1 - 0.00811692)"
13,0.002278645,"(((-36.201637 / (x0 + 14.566135)) - -3.186374) * (x1 - 0.008305602)) + 0.000249895"
15,0.0022489403,"(((-36.192574 / (x0 + 14.605196)) - -3.1746643) * x1) - (-0.0014344631 / (x1 - x0))"
17,0.0022356063,"((x1 * ((-36.192665 / (x0 + 14.604154)) - -3.1811955)) - (-0.0015075488 / (x1 - x0))) - 0.008796921"
19,0.0021764892,"(((-59.663654 / (x0 + 28.93232)) - -2.5567605) - (0.22840288 / (x0 + 2.8100903))) * (x1 - (x1 / -1.3935509))"
21,0.0021641664,"(-0.012822357 + (x1 - (x1 / -1.4298043))) * ((-59.660137 / (x0 + 28.927778)) - ((0.3007033 / (x0 + 3.088822)) + -2.577938))"
25,0.0021407974,"(x1 - (x1 / -1.419059)) * (((-59.660686 / (x0 + 28.930586)) - -2.571388) - (0.30714157 / ((x0 + 3.1965785) - (-0.028996669 / (x1 - 0.36420488)))))"
27,0.0021025324,"(x1 - (x1 / -1.4565359)) * (((-59.659714 / (x0 + 28.94052)) - -2.5812068) - (0.31803557 / ((x0 - (-0.08179387 / ((1.3082566 / x0) - x1))) + 3.1873906)))"
29,0.0020902837,"((x1 - (x1 / -1.4470072)) - 0.012018478) * (((-59.65952 / (x0 + 28.944365)) - -2.5834) - (0.32170188 / ((x0 + 3.1840372) - (-0.081643716 / ((1.308009 / x0) - x1)))))"
