Complexity,Loss,Equation
1,0.17064437,"x1"
3,0.1566217,"x1 / 0.91269994"
5,0.07683017,"(x0 * 0.07557827) + x1"
7,0.0055018114,"((x0 - -6.118068) * x1) * 0.11756037"
9,0.005494531,"(x1 * ((x0 * 0.11752476) - -0.72404057)) + -0.006397376"
11,0.0025497628,"-0.009332271 - (x1 / ((-3.5755646 / (x0 - -3.2413166)) + -0.31496283))"
13,0.002549555,"(0.007714794 - (x1 / 1.0497222)) / ((-3.3849156 / (x0 + 3.2045226)) + -0.30014253)"
17,0.0025489463,"((((-0.0008902528 / x1) - x1) / 1.044806) / ((-3.3830178 / (x0 + 3.20797)) + -0.30468166)) + -0.008954114"
19,0.0025035262,"(0.0075471234 - x1) / ((-3.6699505 / ((x0 - ((-0.0047706217 / (x1 + -0.34323356)) + -3.3351593)) + -0.052011732)) + -0.30579954)"
21,0.002430682,"(0.007331035 - x1) / ((-3.6848946 / ((((x0 * x0) * (-0.022203919 / (x0 + 1.5462495))) + x0) - -3.3377984)) + -0.30161202)"
23,0.0024078074,"(0.0074836263 - x1) / ((-3.635841 / ((x0 + (-0.107795976 / (0.5308352 + ((-0.3434612 / x0) / (0.5308352 - x0))))) - -3.3676522)) + -0.3038994)"
25,0.0023822647,"-0.009145832 - (x1 / ((-3.6525047 / (x0 + ((-0.15610422 / ((((-0.33742282 / x0) / -0.33171818) / (x0 - 1.120565)) + 0.5525588)) - -3.3438463))) + -0.29949668))"
27,0.002357322,"(0.005713957 - x1) / ((-3.6585166 / (((((x0 * 2.8393054) - 1.4944465) * -0.15779631) / (x0 + ((x1 + 1.4914049) / x0))) + (x0 - -3.3543072))) + -0.2949619)"
