Complexity,Loss,Equation
1,0.5290987,"1.2546194"
2,0.33534673,"sqrt(x1)"
3,0.15786763,"x1 * 1.1293646"
5,0.071890876,"(x0 * 0.07858855) + x1"
7,0.005209383,"(x1 * (x0 + 6.3439956)) * 0.114506654"
8,0.0021830937,"x1 * sqrt((x0 * 0.24957378) + 0.4993144)"
10,0.002168966,"(sqrt((x0 * 0.2511326) + 0.5088663) * x1) + -0.009078149"
12,0.0021475388,"x1 * sqrt((x0 * (0.2365352 - (x1 * -0.008451746))) + 0.49964052)"
14,0.0021475158,"x1 * sqrt(((0.2488279 - ((x1 + -1.4497079) * -0.00828231)) * x0) + 0.49947667)"
16,0.0021440382,"sqrt(((0.2415973 - (((x1 * 0.008768421) * x1) / -2.744357)) * x0) + 0.49945936) * x1"
17,0.0021427574,"x1 * sqrt(0.49994525 + (x0 * (0.24822323 - ((sqrt(x1) * -0.00794301) * (x1 - 1.4443048)))))"
19,0.0021425467,"x1 * (sqrt((x0 * (0.24822323 - (sqrt(x1) * ((x1 - 1.4443048) * -0.00794301)))) + 0.49994525) + -0.00032417895)"
20,0.002132064,"x1 * sqrt(0.49959487 + ((x0 * 0.23515797) - ((x0 * -0.018685449) * ((x1 - (-0.78343964 / x1)) - 1.3275931))))"
22,0.0021191898,"sqrt((x0 * (0.23518914 - (x1 * (0.015793014 / (((0.5368294 - x0) / (x0 * 1.7623714)) - 1.1583104))))) + 0.500011) * x1"
