Complexity,Loss,Equation
1,0.18402855,"x1"
3,0.16301207,"x1 / 0.893466"
5,0.07705072,"(x0 * 0.07564724) + x1"
7,0.0052353097,"((x0 + 6.2646847) * 0.11522724) * x1"
8,0.0023419328,"x1 * sqrt(0.50035113 - (x0 * -0.24969395))"
10,0.002331097,"(sqrt(0.50815845 - (x0 * -0.2510559)) * x1) + -0.0075298063"
12,0.0023295758,"x1 * sqrt((-0.014534486 / x1) + (0.51124024 - (x0 * -0.24962248)))"
13,0.0023283167,"(sqrt(x1) * -0.017946387) + (sqrt(0.52147466 - (x0 * -0.2534571)) * x1)"
14,0.002317795,"x1 * ((x1 * (x0 * 0.0019885006)) + sqrt((x0 * 0.24153048) + 0.49942064))"
16,0.0023160232,"sqrt((x0 * 0.24297434) + 0.49973717) * (x1 + (x1 * ((x0 * 0.0011735169) * x1)))"
17,0.0023152998,"x1 * (sqrt((x0 * 0.24290332) + 0.49946952) + ((x0 * 0.0013096626) * (x1 * sqrt(x1))))"
20,0.002292853,"sqrt((((-0.020182809 / x1) * (x0 / ((x0 + x0) - x1))) + 0.50391924) - (x0 * -0.25001064)) * x1"
22,0.0022912316,"sqrt((((-0.021313237 / x1) * (x0 / (x0 + (x0 - x1)))) + (0.5206089 - (x0 * -0.25066432))) + -0.016275585) * x1"
26,0.0022659583,"(((((x0 / ((0.63613486 * x1) - (0.69174635 - (x0 + 0.3548456)))) - x0) * -0.0018234365) * x1) + x1) * sqrt((x0 * 0.2439807) + 0.49867108)"
27,0.0022657327,"(x1 + (sqrt(x1) * (x1 * (((0.6606565 / (x1 * ((0.65519375 / x1) - x0))) - x0) * -0.0025870567)))) * sqrt((x0 * 0.23742685) + 0.50169903)"
28,0.0022650938,"((((x1 * x1) * ((-0.4203115 / (((x1 * 0.65005344) - (0.70099974 - x0)) + 0.34559235)) - x0)) * -0.0013825784) + x1) * sqrt((x0 * 0.24107729) + 0.5031536)"
