Complexity,Loss,Equation
1,0.17064437,"x1"
3,0.1566217,"x1 / 0.91270006"
5,0.07683018,"x1 - (-0.07557729 * x0)"
7,0.005501812,"x1 * ((x0 * 0.11756296) - -0.7192328)"
8,0.002384693,"x1 * sqrt(0.50262934 - (x0 * -0.24940132))"
10,0.0023696958,"(sqrt(0.51196426 - (x0 * -0.25106168)) * x1) - 0.009151288"
12,0.0023668576,"(sqrt(0.5481098 - (x0 * -0.25968146)) - 0.028444929) * (x1 + -0.007837554)"
13,0.0023653104,"(sqrt((0.52758324 - (x0 * -0.25395253)) * x1) + -0.021335302) * sqrt(x1)"
14,0.0023523944,"sqrt((0.52064645 - (x0 * -0.2580153)) * ((x1 * (x1 - 0.06096194)) - -0.016143149))"
17,0.0023453655,"((1.1402674 - (x0 * -0.07594014)) - (0.4785388 / (1.122862 - (x0 * -0.26654604)))) * (x1 - 0.0066897925)"
18,0.0023423743,"((1.3055815 - (x0 * -0.07523317)) - (0.6669946 / sqrt(1.2846146 - (x0 * -0.43687046)))) * (x1 - 0.005426932)"
20,0.0023392825,"(sqrt(0.8072344 - ((0.29686272 + ((0.0028162731 / (x0 - x1)) / x1)) + (x0 * -0.2515797))) * x1) + -0.009684462"
22,0.0023392292,"(x1 * sqrt(0.80777985 - ((x0 * -0.25126952) + ((-0.003365874 / (x1 - ((x0 + -0.7817899) - x1))) + 0.2963173)))) + -0.009140824"
24,0.0023151073,"-0.009140824 + (sqrt(0.80777985 - (0.2963173 + ((x0 * -0.25126952) + (0.0034468952 / ((x0 - x1) - ((x1 + x0) * x1)))))) * x1)"
27,0.0022936363,"-0.009140824 + (sqrt(0.80777985 - (0.2963173 + ((x0 * -0.25126952) + (0.0034468952 / (x1 - (((x1 * x1) - (sqrt(x1) + x0)) * x1)))))) * x1)"
28,0.0022906682,"(x1 * sqrt(0.80777985 - ((x0 * -0.25126952) + ((0.0034468952 / ((x1 - x1) - (x1 + ((0.42595196 / x1) * (x0 + -0.25126952))))) + 0.2963173)))) + -0.009140824"
