Complexity,Loss,Equation
1,0.20106474,"x1"
3,0.14859712,"x1 * 1.1872729"
5,0.065011635,"x1 - (x0 * -0.08391004)"
7,0.0027093503,"(x1 * 0.11369392) * (x0 - -6.405552)"
9,0.0027072765,"(x1 + 0.0029975856) * ((x0 * 0.11353526) - -0.7263821)"
11,0.0026276591,"((x1 + 0.07102014) * ((x0 * 0.10795531) - -0.74951273)) + -0.07936803"
13,7.081885e-5,"(x1 / ((1.6045438 / ((x0 * 0.2099086) - 0.42411274)) - -0.47375143)) + x1"
15,7.077387e-5,"(x1 * 1.0172789) + (x1 / ((1.6042631 / ((x0 * 0.20634392) - 0.44488445)) - -0.47519025))"
17,7.075518e-5,"((x1 * 1.017461) + (x1 / ((1.6042546 / ((x0 * 0.20639639) - 0.44478488)) - -0.4755083))) - 0.00034849564"
19,6.969601e-5,"(x1 * 1.017461) + (x1 / (((1.6042546 / ((x0 * 0.20639639) - 0.44478488)) - -0.4755083) - (0.00034849564 * x0)))"
21,2.7605762e-5,"((((x0 * ((x0 * x0) * 0.00075997633)) + 1.6997554) - (((x0 * 0.014385161) - 0.17741376) * x0)) * x1) - x1"
23,5.697249e-6,"((((((x0 * x0) * ((x0 * -0.000104746396) - -0.0021936486)) - ((0.019768879 * x0) - 0.18064256)) * x0) + 1.7041218) * x1) - x1"
25,5.696858e-6,"((1.7041391 + ((((x0 * x0) * x0) * ((x0 * -0.00010507253) - -0.0021976829)) - (x0 * ((x0 * 0.019780874) - 0.18064034)))) * x1) - x1"
27,5.647779e-6,"(x1 * (((x0 * (x0 * ((x0 * -0.00010476439) - -0.0021935203))) * x0) + (1.7045599 - (x0 * ((x0 * 0.019764774) - 0.18061288))))) - (x1 - -0.00051165133)"
29,5.647768e-6,"(x1 * ((((((x0 - -0.13854203) * -0.000104817685) - -0.0022088403) * x0) * (x0 * x0)) + (1.7045676 - (((x0 * 0.019768307) - 0.18061571) * x0)))) - (x1 - -0.00051376596)"
