Complexity,Loss,Equation
1,0.1722272,"x1"
3,0.12553306,"x1 * 1.183108"
5,0.061903026,"x1 - (x0 * -0.074439585)"
7,0.0026027686,"x1 * ((x0 * 0.11352961) + 0.73358595)"
9,0.000531804,"x1 * ((-16.497543 / (x0 + 9.101706)) + 2.5047078)"
11,6.121726e-5,"((x0 / (x0 + 13.881941)) + 0.29156333) * (x1 * 2.388813)"
13,2.750594e-6,"x1 * ((x0 * ((0.67758334 / (x0 + 5.7096505)) + 0.06028231)) + 0.7046324)"
15,2.685328e-6,"((((1.4132087 / (x0 + 5.639701)) + 0.07065559) * (x0 + 2.5487556)) * x1) * 0.8608451"
17,2.671269e-6,"((((x0 + 2.549311) * x1) * 0.86088836) * ((1.4132874 / (x0 + 5.6396194)) + 0.07065089)) - 0.00025910523"
21,1.008662e-6,"((((x0 * (x0 * -0.0018399683)) - (x0 * -0.098851144)) * x1) + x1) + (x1 * (1.0930644 / (-3.7357852 - x0)))"
23,1.0018628e-6,"((1.0927451 / (-3.736467 - x0)) * x1) + ((x1 + (x1 * ((x0 * (x0 * -0.0018428685)) - (x0 * -0.098884195)))) - 0.00017835056)"
25,9.929912e-7,"(x1 + (((-7.835223e-5 / x0) + (1.093133 / (-3.7357652 - x0))) * x1)) + (x1 * (((x0 * -0.0018437621) * x0) - (x0 * -0.098879635)))"
27,9.871447e-7,"(x1 + (((-9.59669e-5 / x0) + ((x0 * (x0 * -0.0018498019)) - (x0 * -0.09893708))) * x1)) + (((x1 * 1.0927285) / (-3.7364519 - x0)) - 0.00021063338)"
29,9.806229e-7,"x1 + (((((x1 * -9.592034e-5) / x0) + ((x0 * (x0 * -0.001849815)) - (x0 * -0.098937035))) * x1) + (((x1 * 1.0927285) / (-3.7364519 - x0)) - 0.00021061268))"
