Complexity,Loss,Equation
1,0.20371948,"x1"
3,0.14066772,"x1 * 1.2010423"
5,0.066674456,"x1 - (x0 * -0.08060164)"
7,0.0027503886,"x1 * ((x0 * 0.112661555) + 0.7356135)"
8,8.901316e-7,"x1 * sqrt((x0 * 0.24994832) + 0.5001242)"
10,8.8231724e-7,"(sqrt((x0 * 0.24996446) + 0.5003838) * x1) - 0.00020804346"
12,8.779456e-7,"(sqrt((x0 * 0.24996307) + 0.50023544) * x1) + (-8.1925486e-5 / x1)"
14,8.446054e-7,"sqrt(((x0 * 0.24992105) + 0.5001856) - (-0.00028895002 / (x0 - 2.780122))) * x1"
16,8.415783e-7,"sqrt((x0 * 0.24992105) + (0.5001856 - (-0.00028895002 / ((x0 / 0.97351) - 2.780122)))) * x1"
18,8.4089044e-7,"x1 * ((sqrt((x0 * 0.33277547) + 0.6660946) - (-0.00017217049 / ((x0 + -2.2730906) - 0.43899676))) * 0.8665983)"
20,8.391901e-7,"x1 * sqrt((0.7959928 - ((x1 * -4.090177e-5) / ((x0 * 0.31396946) - 0.82663316))) * ((x0 * 0.31396946) + 0.6283926))"
22,8.2227575e-7,"((0.8670347 - ((x0 * 4.3925058e-5) / ((1.0335402 - x0) * (x0 + -2.6668022)))) * x1) * sqrt((0.3324806 * x0) + 0.66530627)"
24,8.2030334e-7,"((0.8670347 - (((x1 * x0) * 4.3925058e-5) / ((1.0335402 - x0) * (x0 + -2.6668022)))) * x1) * sqrt((0.3324806 * x0) + 0.66530627)"
27,8.083509e-7,"(sqrt((x0 * 0.33268794) + 0.6656571) * x1) * (0.86673635 - (-4.5113004e-5 / ((sqrt(x1) * 1.1603838) - ((((x1 * x0) * 0.31314945) + -2.1481621) * x1))))"
29,7.9710713e-7,"((x1 * sqrt((x0 * 0.33274624) + 0.66565096)) * 0.86670285) - (x1 * (-0.00011894437 / (((1.5248489 / x1) * sqrt(x1)) - (((x1 * x0) * 0.3326905) + -2.1481621))))"
