Complexity,Loss,Equation
1,0.20106474,"x1"
3,0.14859712,"x1 / 0.84226656"
4,0.14353245,"x1 * sqrt(x1)"
5,0.06517993,"x1 + (x0 * 0.08686095)"
7,0.0027093503,"(x1 * (x0 + 6.4054966)) * 0.113695085"
8,8.450559e-7,"x1 * sqrt(0.49996552 - (x0 * -0.24993809))"
10,8.3213735e-7,"(x1 + -0.00033333388) * sqrt(0.5002605 - (x0 * -0.2500445))"
14,8.3046905e-7,"((x1 * 0.7072239) + -0.00016964265) * sqrt((x0 / x0) - (x0 * -0.49986467))"
18,8.212139e-7,"sqrt(0.25242916 - (((x0 - (-0.15179773 / (x0 - 13.585324))) + (x0 / x0)) * -0.25032142)) * x1"
20,8.0765966e-7,"sqrt(0.25274023 - ((((x0 / x0) - (-0.15043181 / (x0 + -13.159863))) + x0) * -0.25044808)) * (x1 - 0.00038160413)"
22,8.0683066e-7,"sqrt(0.25274023 - ((x0 + ((x0 / x0) - (-0.15043181 / (x0 + (-0.077445105 + -13.159863))))) * -0.25044808)) * (x1 - 0.00038160413)"
24,7.852601e-7,"sqrt(0.2524304 - (((x0 / x0) + (x0 - (-0.15179771 / (x0 + ((0.28629827 / (x1 * x1)) - 13.681459))))) * -0.25033337)) * x1"
