Complexity,Loss,Equation
1,0.1722272,"x1"
3,0.12553306,"x1 * 1.1831181"
5,0.061903026,"x1 - (x0 * -0.074439585)"
7,0.0026027686,"x1 * (0.73358 - (x0 * -0.11353066))"
8,9.306909e-7,"x1 * sqrt(0.50004834 - (x0 * -0.24997373))"
10,9.237406e-7,"(x1 + -0.00014060596) * sqrt(0.5001721 - (x0 * -0.25001684))"
12,9.1976386e-7,"(x0 * -5.15793e-5) + (sqrt(0.50008094 - (x0 * -0.25006688)) * x1)"
14,9.189531e-7,"(((-0.3604802 - x0) * 3.637518e-5) + x1) * sqrt(0.5000847 - (x0 * -0.25007197))"
15,9.1891684e-7,"(x1 + ((x0 - sqrt(x1)) * -3.8721664e-5)) * sqrt(0.4999988 - (x0 * -0.25005272))"
16,9.144855e-7,"sqrt(0.50002176 - (-0.25013876 * x0)) * (((x0 - (-1.7043822 / x0)) * -5.4175063e-5) + x1)"
18,9.1003466e-7,"(x1 + (-5.4175063e-5 * (x0 - ((x1 / x0) * -1.7043822)))) * sqrt(0.50002176 - (-0.25013876 * x0))"
20,9.09158e-7,"(x1 + (-5.4175063e-5 * (x0 - (x1 * ((x1 / x0) * -1.7043822))))) * sqrt(0.50002176 - (-0.25013876 * x0))"
21,9.085162e-7,"(x1 * sqrt(0.49989188 - (x0 * -0.25012583))) + ((sqrt((0.7513565 / (x0 * x0)) + 0.88167286) - x0) * 7.832912e-5)"
22,9.0713013e-7,"sqrt(0.5000212 - (x0 * -0.2501372)) * ((((x0 - 1.4289296) - ((x1 * x1) / (x0 / -1.7043822))) * -6.3170424e-5) + x1)"
23,9.0710034e-7,"sqrt(0.5000212 - (x0 * -0.2501372)) * ((((x0 - sqrt(1.823976)) - ((x1 * x1) / (x0 / -1.7043822))) * -6.3170424e-5) + x1)"
25,8.74877e-7,"((((x1 - (sqrt(x1) / (-0.08192679 - ((x1 + -0.35752714) / x1)))) - x0) * 7.189096e-5) + sqrt(0.4998929 - (x0 * -0.25013018))) * x1"
