Complexity,Loss,Equation
1,0.19165342,"x1"
3,0.12541299,"x1 * 1.2121114"
5,0.08370009,"x1 - (x0 * -0.04585401)"
7,0.002296811,"((x0 - -6.617544) * x1) / 8.939295"
8,8.535052e-7,"(0.49999037 * sqrt(x0 + 1.9999198)) * x1"
10,8.4905935e-7,"(sqrt(x0 + 1.9999986) * (x1 + -0.0001246854)) * 0.50003105"
12,8.45159e-7,"sqrt(((x0 + 2.0004354) * (x1 * (x1 * 0.24998413))) - 0.0001294541)"
16,8.2752365e-7,"sqrt((x1 - (0.00019437692 / (x0 + 1.414365))) * ((x1 * 0.24998786) * (x0 + 2.0004284)))"
18,7.9027353e-7,"sqrt(((x1 * 0.24997574) * x1) * ((x0 + 1.0721688) - ((-0.00016568523 / (x1 + -0.3307983)) + -0.92826724)))"
20,7.9013085e-7,"sqrt(((1.0721688 + x0) - (((0.00017848871 / (x1 + -0.3307983)) * -0.9679559) + -0.92826724)) * (x1 * (0.24997574 * x1)))"
22,7.8763594e-7,"sqrt((x1 * (x1 * 0.24997574)) * ((x0 - ((((x1 + -1.2811029) * 0.00017848871) / (x1 + -0.3307983)) + -0.92826724)) + 1.0721688))"
28,7.8700043e-7,"sqrt(((x1 * x1) * ((x0 + 1.0721688) - (((((0.00017848871 / (x0 * x0)) + x1) + -1.261201) * (0.00017848871 / (x1 + -0.3307983))) + -0.92826724))) * 0.24997574)"
