Complexity,Loss,Equation
1,0.1970358,"x1"
3,0.1472231,"x1 * 1.1825215"
5,0.06799947,"x1 + (x0 * 0.08171639)"
7,0.0053494633,"(x1 * (x0 + 6.5094185)) * 0.11211993"
9,0.002087733,"x1 * ((-26.77818 / (x0 + 12.310326)) + 2.8722687)"
11,0.0020434964,"((-26.80727 / (x0 + 12.265902)) + 2.8903785) * (x1 - 0.013280254)"
13,0.0020433003,"(x1 + -0.0133527545) * ((-3.0629282 / ((x0 * 0.1117354) + 1.3886116)) + 2.910575)"
15,0.0020231472,"((-3.065833 / ((x0 * 0.11215857) + 1.3962251)) + 2.8958633) * (x1 + (-0.005013328 / x1))"
17,0.0019874766,"(-0.0010884628 / (x0 + 1.399513)) + (x1 * (2.8943574 + (-3.065757 / (1.3974097 + (x0 * 0.111235216)))))"
19,0.0019871886,"(((-3.0666368 / ((x0 * 0.11214324) + 1.395826)) + 2.8929143) + (-0.00083777163 / ((x0 - x1) + 0.7641057))) * x1"
21,0.0019409235,"(((-3.0680275 / ((x0 * 0.116310254) + 1.400692)) + 2.8862805) * ((0.028140977 / ((x0 * x0) + 0.3526785)) + x1)) - 0.022057127"
23,0.0019386577,"(x1 * ((2.8943787 + (0.06120595 / ((x0 * (x0 + x0)) + x1))) + (-3.06796 / ((x0 * 0.115821555) + 1.3910546)))) - 0.02090589"
25,0.001937375,"((x1 * (2.8903513 + (-3.0679193 / (1.3962677 + (0.11611554 * x0))))) - 0.021619214) + (0.04788811 / (0.8460105 + (x0 * (x0 + (x0 / x1)))))"
27,0.0018928442,"(0.043121 / ((((0.043121 / (1.4063455 + x0)) + x0) * x0) + 0.8462543)) + ((x1 * (2.8844745 + (-3.0700226 / ((x0 * 0.11716588) + 1.3985043)))) - 0.021122606)"
