Complexity,Loss,Equation
1,0.19188091,"x1"
3,0.12648837,"x1 * 1.2107397"
5,0.06449677,"(x0 * 0.07714732) + x1"
7,0.005061753,"(x1 * (x0 - -6.677889)) * 0.11112085"
9,0.0021592549,"x1 * ((-29.093166 / (x0 + 12.879234)) + 2.9558136)"
11,0.002142229,"(x1 * ((-29.100807 / (x0 + 12.895323)) + 2.96129)) + -0.009207098"
13,0.0021061953,"(((-3.156913 / (x0 + 4.9213)) + 1.3458548) + (x0 * 0.05889876)) * x1"
15,0.0020897635,"((((-3.152735 / (x0 + 4.927008)) + 1.351993) + (x0 * 0.058837425)) * x1) + -0.00900371"
19,0.0020126314,"(((x0 * x0) * -0.0045237937) + ((x0 * ((0.06816663 / (x0 + 1.7535602)) + 0.13572603)) + 0.7108035)) * x1"
21,0.001999913,"(x1 + -0.0066460283) * ((x0 * (x0 * -0.004526399)) + ((x0 * ((0.0701736 / (x0 + 1.7643081)) + 0.13592508)) + 0.71475303))"
23,0.0019815988,"((((((x0 * -0.0061387033) + 0.15910208) * x0) + 0.67818326) - (-0.09528423 / (x0 + (x1 / (x0 + 0.6710632))))) * x1) + -0.014680825"
27,0.0019719547,"x1 * (((x0 * ((x0 * -0.0067401747) + 0.16619541)) - (-0.10547724 / ((x1 + (x0 / x1)) - (x0 / ((x0 + x1) * 0.67435855))))) + 0.6394391)"
29,0.001968563,"((x0 * ((x0 * -0.006614255) + 0.16533844)) + (0.6359807 - (-0.12432426 / ((x1 + ((x0 / x1) + 0.17871137)) - ((x0 / (x1 + x0)) / 0.6334529))))) * x1"
