Complexity,Loss,Equation
1,0.1970358,"x1"
3,0.1472231,"x1 / 0.84566927"
4,0.14173667,"x1 * sqrt(x1)"
5,0.067999475,"x1 + (x0 * 0.08171761)"
7,0.0053494624,"((x0 + 6.5093517) * 0.11211994) * x1"
8,0.0021125262,"x1 * sqrt((x0 * 0.24679002) + 0.49897635)"
10,0.002075922,"(x1 + -0.012527033) * sqrt((x0 * 0.2507473) + 0.5096472)"
12,0.0020539053,"sqrt(((x0 * 0.24784578) + 0.50315297) * ((x1 * x1) + -0.009313983))"
14,0.0020203835,"sqrt(((x0 * 0.24882771) + 0.50067455) * ((x1 * x1) + (x0 * -0.0022487114)))"
16,0.0020049186,"sqrt(((x1 * x1) + ((x0 * -0.00039296653) * x0)) * ((x0 * 0.24915014) + 0.49964705))"
18,0.0020040683,"sqrt(((x0 * 0.24915014) + 0.49964705) * ((((x0 + -0.7018241) * -0.0004182361) * x0) + (x1 * x1)))"
19,0.002003964,"sqrt(((0.24915014 * x0) + 0.49964705) * ((x1 * x1) + (((x0 - sqrt(x1)) * x0) * -0.00041036415)))"
20,0.0019968478,"sqrt(((x1 * x1) * ((x0 * 0.24915014) + 0.49770403)) + (x0 * ((x0 * -1.8170513e-5) * (x0 * x0))))"
22,0.0019389533,"sqrt((((x0 * 0.2554406) + 0.49887133) * x1) * x1) + ((x0 * -0.00071968563) * ((1.3348589 / (x0 + -0.55156255)) + x0))"
26,0.001930807,"(((-0.0006712943 * ((1.4180713 / x1) + (x0 * x0))) / (x0 + -0.5513951)) * x0) + sqrt((x1 * ((x0 * 0.25544354) + 0.49887156)) * x1)"
28,0.001930016,"sqrt((x1 * ((x0 * 0.25544354) + 0.49887156)) * x1) + ((-0.30638322 + (((1.4180713 / x1) + (x0 * x0)) / (x0 + -0.55139506))) * (-0.0006712989 * x0))"
30,0.0019213319,"((x0 + x1) * (-0.005278587 / (((x0 + x1) - (x1 * x1)) / (x0 - 0.7263559)))) + sqrt(x1 * ((x1 * ((x0 * 0.25852117) + 0.5233225)) + -0.020964758))"
