Complexity,Loss,Equation
1,0.19188091,"x1"
3,0.12648837,"x1 * 1.2107189"
5,0.06449677,"x1 + (x0 / 12.962537)"
7,0.0050617554,"x1 * ((x0 * 0.111120835) + 0.74205273)"
8,0.0021338132,"sqrt((x0 * 0.24957806) + 0.49770033) * x1"
10,0.0020656916,"(sqrt((x0 * 0.22037576) + 0.34720385) + 0.118904665) * x1"
15,0.0020570117,"x1 * (sqrt((x0 * 0.27938786) + sqrt(sqrt(sqrt(x0 + 1.448032)))) + -0.31012943)"
17,0.0020444167,"(x1 + -0.006627635) * (sqrt((x0 * 0.28084385) + sqrt(sqrt(sqrt(x0 + 1.447726)))) + -0.30611914)"
19,0.0020399007,"(x1 * (sqrt((x0 * 0.2791026) + sqrt(sqrt(sqrt(x0 + 1.4502295)))) + -0.30798334)) + (-0.0026823482 / x1)"
23,0.0020370097,"(sqrt(sqrt(sqrt(sqrt(x1 + 2.4359384) + x0)) + (x0 * 0.25967994)) + ((x1 * -0.022658171) + -0.33633086)) * (x1 - 0.017205216)"
25,0.0020350122,"(x1 - 0.015128062) * (sqrt((x1 * -0.07671309) + (sqrt(sqrt((x0 + sqrt(x1 * 0.8874172)) + 0.99357307)) + (x0 * 0.2513917))) + -0.32859015)"
30,0.0020349992,"(sqrt(((x0 * 0.25171143) + (x1 * -0.069909096)) + sqrt(sqrt(x0 + (sqrt(sqrt(sqrt(sqrt(0.39831957 / x1))) * x1) + 0.99117064)))) + -0.33232236) * (x1 - 0.014433299)"
