Complexity,Loss,Equation
1,0.1868919,"x1"
3,0.17070112,"x1 * 1.1014283"
5,0.079389684,"x1 - (x0 * -0.07474755)"
7,0.0036974216,"((x0 * 0.120405175) + 0.7056902) * x1"
8,8.973134e-7,"sqrt(x0 + 2.0007968) * (x1 * 0.49995348)"
10,8.790261e-7,"sqrt(x0 + 2.0008) * ((x1 * 0.50005853) - 0.00014268525)"
12,8.7900526e-7,"(sqrt((x0 + 2.0008006) - 3.1649863e-5) * 0.5000595) * (x1 - 0.00028527682)"
16,8.789862e-7,"sqrt((x0 + 2.0008006) - 3.1608997e-5) * ((((x1 - 0.00028500197) + x0) - x0) * 0.5000602)"
18,8.789833e-7,"sqrt(x0 + 2.0008006) * ((x0 + (x0 + (((x1 - x0) - 0.00028526929) - x0))) * 0.5000595)"
19,8.7286503e-7,"sqrt(x1) * (((sqrt(x1 + (x1 + (x0 * x1))) + (x1 * 0.0008820775)) * 0.49988142) + -0.00032063425)"
29,8.728086e-7,"(((-2.2690612e-5 * ((((x1 / -0.18873984) + 0.4431733) * (x1 + x1)) + x0)) + sqrt(((x0 * x1) + x1) + x1)) * 0.49995986) * sqrt(x1 + -0.00022350691)"
