Complexity,Loss,Equation
1,0.18169005,"x1"
3,0.16501996,"x1 * 1.105862"
5,0.07578847,"x1 + (x0 * 0.07410575)"
7,0.0036619466,"(x1 * (x0 + 5.9450073)) * 0.11915965"
8,9.809612e-7,"sqrt((x0 * 0.24998505) + 0.5000421) * x1"
10,9.809527e-7,"sqrt((x1 * x1) * (x0 + 2.0003035)) * 0.49998444"
12,9.550463e-7,"sqrt(((x0 + 2.000253) * x1) * ((x1 * 0.25013837) + -0.00017173885))"
14,9.4402145e-7,"sqrt(x1 * (((x1 * 0.0007711629) + ((x0 + 1.9956137) * 0.24999313)) * x1))"
19,9.419461e-7,"sqrt(((x0 + (((sqrt(x0 + 14.582669) * x1) * 0.00063653116) + 1.9970715)) * x1) * (x1 * 0.24994838))"
20,9.393941e-7,"sqrt(((x1 * ((x0 + 1.9977415) - ((-0.0008847443 / (x1 + -0.4862896)) * (x1 * x1)))) * 0.25001988) * x1)"
22,9.1610906e-7,"sqrt(x1 * ((((x0 + 1.9970797) - (((x1 * (0.30247813 - x1)) * 0.0019317378) / (x1 + -0.48537338))) * 0.24998273) * x1))"
26,9.1227184e-7,"sqrt(((1.9970797 + (x0 - ((x1 * ((0.30247813 - x1) * 0.0019317375)) / ((x1 + (x0 * 0.0019317372)) - 0.4868332)))) * 0.24998273) * (x1 * x1))"
28,9.1041693e-7,"sqrt((x1 * x1) * (((x0 - (x1 * (((0.30247813 - x1) * 0.0019317379) / ((x1 + ((x0 - 0.90015024) * 0.0019317379)) - 0.4868331)))) + 1.9970797) * 0.24998273))"
30,9.102106e-7,"sqrt((x1 * (((x0 - ((x1 * ((0.30247813 - x1) * 0.0019317379)) / ((((x1 - (1.1174537 - x0)) * 0.0019317379) + x1) - 0.4868331))) + 1.9970797) * 0.24998273)) * x1)"
